estimand_type,estimand_id,g,t,k,method,post_mean,post_median,sd,q025,q05,q95,q975,p_bayes_tail_min,p_bayes_two_sided,p_bayes,true,family,design,degree,N,rep,seed,task_estimator,max_control_odds,effective_sample_size,max_normalized_weight,fold_sizes
PRE,k=-4,,,-4.0,pretrend,-0.2357476197753602,-0.23114456368907224,0.21142295270100572,-0.6591676667635631,-0.6036699656923212,0.07703903340536188,0.13792249183761152,0.162,0.324,0.324,-0.0,correction_completion,PT_conditional,1,200,178,1240003117,raw_structured,,,,
PRE,k=-3,,,-3.0,pretrend,-0.20891148751520563,-0.20360778375275287,0.2016491975944738,-0.6149580491504637,-0.5527149681534906,0.0710554016862206,0.12890696366794652,0.22933333333333333,0.45866666666666667,0.45866666666666667,-0.0,correction_completion,PT_conditional,1,200,178,1240003117,raw_structured,,,,
PRE,k=-2,,,-2.0,pretrend,-0.1202304346847898,-0.04625654861866872,0.17356761115316216,-0.5055067688975865,-0.44876696629549573,0.07788245352247114,0.1374982165904763,0.45866666666666667,0.9173333333333333,0.9173333333333333,-0.0,correction_completion,PT_conditional,1,200,178,1240003117,raw_structured,,,,
PRE,slope,,,,pretrend,0.08894973350294871,0.08484708341046221,0.07761561585286822,-0.045979632599558,-0.025971221566711968,0.2278308900423984,0.24259228866732285,0.15133333333333332,0.30266666666666664,0.30266666666666664,0.0,correction_completion,PT_conditional,1,200,178,1240003117,raw_structured,,,,
PRE_SUB,X1=0_k=-4,,,-4.0,pretrend,-0.2357834643117356,-0.23002707206275186,0.215122416625086,-0.66454873951802,-0.607838253694432,0.07956834677614097,0.15147224493444036,0.164,0.328,0.328,-0.0,correction_completion,PT_conditional,1,200,178,1240003117,raw_structured,,,,
PRE_SUB,X1=0_k=-3,,,-3.0,pretrend,-0.20786895731866767,-0.20191903504293146,0.2034459708722518,-0.6158011545265509,-0.5527149681534905,0.07291676310410641,0.14513711480868902,0.23066666666666666,0.4613333333333333,0.4613333333333333,-0.0,correction_completion,PT_conditional,1,200,178,1240003117,raw_structured,,,,
PRE_SUB,X1=0_k=-2,,,-2.0,pretrend,-0.12101570688197785,-0.04723439787903798,0.17470409221872754,-0.5095226725138227,-0.449438460615981,0.07831324127783094,0.1407315517770568,0.4593333333333333,0.9186666666666666,0.9186666666666666,-0.0,correction_completion,PT_conditional,1,200,178,1240003117,raw_structured,,,,
PRE_SUB,X1=1_k=-4,,,-4.0,pretrend,-0.23572722547018118,-0.23016637426959946,0.21182423054339686,-0.6608748196877461,-0.6043685866700114,0.07703903340536167,0.1379224918376116,0.16333333333333333,0.32666666666666666,0.32666666666666666,-0.0,correction_completion,PT_conditional,1,200,178,1240003117,raw_structured,,,,
PRE_SUB,X1=1_k=-3,,,-3.0,pretrend,-0.20950465124771867,-0.20347991652529507,0.20217675682530137,-0.6153484251864101,-0.5527149681534905,0.0678243884017649,0.12884937411299582,0.22866666666666666,0.4573333333333333,0.4573333333333333,-0.0,correction_completion,PT_conditional,1,200,178,1240003117,raw_structured,,,,
PRE_SUB,X1=1_k=-2,,,-2.0,pretrend,-0.11978364188294144,-0.04625654861866875,0.17362136332304645,-0.5061231846553955,-0.44944902143908066,0.07651411518809152,0.13927701824348904,0.458,0.916,0.916,-0.0,correction_completion,PT_conditional,1,200,178,1240003117,raw_structured,,,,
PRE_SUB,X2=low_k=-4,,,-4.0,pretrend,-0.23048301603865973,-0.22724004282948063,0.2125613385573521,-0.6528379710548562,-0.5964458945180905,0.07978350641186155,0.14608419828136227,0.166,0.332,0.332,-0.0,correction_completion,PT_conditional,1,200,178,1240003117,raw_structured,,,,
PRE_SUB,X2=low_k=-3,,,-3.0,pretrend,-0.20411814814819798,-0.1968459494826799,0.20210828649105878,-0.6149580491504628,-0.5533125554377955,0.07600797558494927,0.14971771415986873,0.232,0.464,0.464,-0.0,correction_completion,PT_conditional,1,200,178,1240003117,raw_structured,,,,
PRE_SUB,X2=low_k=-2,,,-2.0,pretrend,-0.11787101197087144,-0.0435208262191244,0.17288069953375862,-0.505083697300025,-0.448766966295496,0.08271328072857309,0.1374982165904762,0.4613333333333333,0.9226666666666666,0.9226666666666666,-0.0,correction_completion,PT_conditional,1,200,178,1240003117,raw_structured,,,,
PRE_SUB,X2=high_k=-4,,,-4.0,pretrend,-0.23966375774344037,-0.23498816185799176,0.21325340698657513,-0.6697052898810686,-0.610570885200022,0.06878973840923369,0.13145476337296627,0.162,0.324,0.324,-0.0,correction_completion,PT_conditional,1,200,178,1240003117,raw_structured,,,,
PRE_SUB,X2=high_k=-3,,,-3.0,pretrend,-0.21245925514499572,-0.20437828380251752,0.20399641489815995,-0.6215528422559159,-0.5717768384191044,0.06740710166497944,0.12715201273607427,0.22866666666666666,0.4573333333333333,0.4573333333333333,-0.0,correction_completion,PT_conditional,1,200,178,1240003117,raw_structured,,,,
