estimand_type,estimand_id,g,t,k,method,post_mean,post_median,sd,q025,q05,q95,q975,p_bayes_tail_min,p_bayes_two_sided,p_bayes,true,family,design,degree,N,rep,seed,task_estimator,max_control_odds,effective_sample_size,max_normalized_weight,fold_sizes
PRE,k=-4,,,-4.0,pretrend,-0.11658802635899868,-0.09121679984235237,0.19724013923218167,-0.5269497404033716,-0.45797713916212207,0.17522697215612318,0.23904852870055535,0.3453333333333333,0.6906666666666667,0.6906666666666667,-0.0,correction_completion,PT_conditional,3,200,52,1243302,raw_structured,,,,
PRE,k=-3,,,-3.0,pretrend,-0.045311205812669356,0.0,0.1688544383330102,-0.4131235949692901,-0.34333839785156894,0.22751770293158316,0.30380880542082295,0.5086666666666667,1.0,1.0,-0.0,correction_completion,PT_conditional,3,200,52,1243302,raw_structured,,,,
PRE,k=-2,,,-2.0,pretrend,-0.03897685540640392,0.0,0.14351067979036158,-0.3986987608529531,-0.3179652444161245,0.18127587933077693,0.24378459508804426,0.6413333333333333,1.0,1.0,-0.0,correction_completion,PT_conditional,3,200,52,1243302,raw_structured,,,,
PRE,slope,,,,pretrend,0.03424023900776705,0.026085790850166508,0.06758961831802893,-0.09085406837215801,-0.06670161179203285,0.15253359469389743,0.1770482643999372,0.36133333333333334,0.7226666666666667,0.7226666666666667,0.0,correction_completion,PT_conditional,3,200,52,1243302,raw_structured,,,,
PRE_SUB,X1=0_k=-4,,,-4.0,pretrend,-0.11256287465282885,-0.08858406070677233,0.20041766541701483,-0.5269497404033716,-0.4612290225110641,0.18489490652416074,0.24649024051217117,0.35733333333333334,0.7146666666666667,0.7146666666666667,-0.0,correction_completion,PT_conditional,3,200,52,1243302,raw_structured,,,,
PRE_SUB,X1=0_k=-3,,,-3.0,pretrend,-0.042060378904415475,0.0,0.17080315914408792,-0.4124719588558831,-0.3433383978515692,0.23040967829826398,0.3052385831754917,0.5166666666666667,1.0,1.0,-0.0,correction_completion,PT_conditional,3,200,52,1243302,raw_structured,,,,
PRE_SUB,X1=0_k=-2,,,-2.0,pretrend,-0.035822662395383544,0.0,0.14675326377999115,-0.39842858067603326,-0.3193860908485634,0.18605875306009564,0.2527920798462211,0.6493333333333333,1.0,1.0,-0.0,correction_completion,PT_conditional,3,200,52,1243302,raw_structured,,,,
PRE_SUB,X1=1_k=-4,,,-4.0,pretrend,-0.11903811870188466,-0.09387211645271525,0.19929557542042758,-0.52781153135608,-0.4661644158821411,0.17439317992477474,0.2390485287005551,0.344,0.688,0.688,-0.0,correction_completion,PT_conditional,3,200,52,1243302,raw_structured,,,,
PRE_SUB,X1=1_k=-3,,,-3.0,pretrend,-0.04728997001769347,0.0,0.17167296149978367,-0.41991047494269157,-0.3535928326088798,0.22930454209144677,0.3038088054208228,0.5073333333333333,1.0,1.0,-0.0,correction_completion,PT_conditional,3,200,52,1243302,raw_structured,,,,
PRE_SUB,X1=1_k=-2,,,-2.0,pretrend,-0.040896798978329374,0.0,0.14576325453180528,-0.4124359343309377,-0.33012955473157507,0.17535216459022035,0.24378459508804443,0.6406666666666667,1.0,1.0,-0.0,correction_completion,PT_conditional,3,200,52,1243302,raw_structured,,,,
