estimand_type,estimand_id,g,t,k,method,post_mean,post_median,sd,q025,q05,q95,q975,p_bayes_tail_min,p_bayes_two_sided,p_bayes,true,family,design,degree,N,rep,seed,task_estimator,max_control_odds,effective_sample_size,max_normalized_weight,fold_sizes
PRE,k=-4,,,-4.0,pretrend,-0.21315851199930838,-0.2015047250188243,0.2165381513790439,-0.6707851761354898,-0.5830599090186726,0.11398763940883734,0.17476767119689393,0.18533333333333332,0.37066666666666664,0.37066666666666664,-0.0,correction_completion,PT_conditional,3,200,22,1170368606,raw_structured,,,,
PRE,k=-3,,,-3.0,pretrend,-0.048569974438806535,-0.011333796170576971,0.19566677059703783,-0.45739081231404244,-0.37974468494823777,0.265304677305835,0.3372379423328088,0.482,0.964,0.964,-0.0,correction_completion,PT_conditional,3,200,22,1170368606,raw_structured,,,,
PRE,k=-2,,,-2.0,pretrend,-0.10924083651246835,-0.04183986264598193,0.1657066969105693,-0.48473475560814333,-0.42582704556527906,0.09200074733127617,0.15386021833731878,0.4513333333333333,0.9026666666666666,0.9026666666666666,-0.0,correction_completion,PT_conditional,3,200,22,1170368606,raw_structured,,,,
PRE,slope,,,,pretrend,0.06041830867057189,0.055415042645236834,0.07506078278570856,-0.07621931557662336,-0.0544086988482698,0.19622892673697404,0.21747752257220168,0.23066666666666666,0.4613333333333333,0.4613333333333333,0.0,correction_completion,PT_conditional,3,200,22,1170368606,raw_structured,,,,
PRE_SUB,X1=0_k=-4,,,-4.0,pretrend,-0.2083624118868055,-0.19644122837369787,0.21737453509436896,-0.672124961133475,-0.5795524075641434,0.1331395028785976,0.1811999984725263,0.19066666666666668,0.38133333333333336,0.38133333333333336,-0.0,correction_completion,PT_conditional,3,200,22,1170368606,raw_structured,,,,
PRE_SUB,X1=0_k=-3,,,-3.0,pretrend,-0.04429137274187373,-0.0020246788958244283,0.19535321873873882,-0.45784431634843603,-0.37609145497824575,0.268767728589412,0.3363914994975247,0.496,0.992,0.992,-0.0,correction_completion,PT_conditional,3,200,22,1170368606,raw_structured,,,,
PRE_SUB,X1=0_k=-2,,,-2.0,pretrend,-0.10420568957584359,-0.028629563250204142,0.1662557012561588,-0.48473475560814244,-0.42501464769769165,0.10021773645199993,0.16898533020211465,0.4666666666666667,0.9333333333333333,0.9333333333333333,-0.0,correction_completion,PT_conditional,3,200,22,1170368606,raw_structured,,,,
PRE_SUB,X1=1_k=-4,,,-4.0,pretrend,-0.21579984249604903,-0.20300574066670535,0.2200414679222398,-0.6862855598746079,-0.5970134052256046,0.11398763940883735,0.177485721448233,0.18733333333333332,0.37466666666666665,0.37466666666666665,-0.0,correction_completion,PT_conditional,3,200,22,1170368606,raw_structured,,,,
PRE_SUB,X1=1_k=-3,,,-3.0,pretrend,-0.05092630580813185,-0.01172109854465477,0.1995574691094575,-0.46698878486287815,-0.38828034944080514,0.26584772614519064,0.33926723681699755,0.48133333333333334,0.9626666666666667,0.9626666666666667,-0.0,correction_completion,PT_conditional,3,200,22,1170368606,raw_structured,,,,
PRE_SUB,X1=1_k=-2,,,-2.0,pretrend,-0.11201381598481243,-0.042508798445124577,0.16896240928170173,-0.487278638446267,-0.43543726995254545,0.0918799391459662,0.14785633247586974,0.45066666666666666,0.9013333333333333,0.9013333333333333,-0.0,correction_completion,PT_conditional,3,200,22,1170368606,raw_structured,,,,
PRE_SUB,X2=low_k=-4,,,-4.0,pretrend,-0.21364523517260084,-0.20162454745753744,0.21806743507911258,-0.675712938297775,-0.592700768744756,0.11588258894237173,0.1768660009651679,0.186,0.372,0.372,-0.0,correction_completion,PT_conditional,3,200,22,1170368606,raw_structured,,,,
PRE_SUB,X2=low_k=-3,,,-3.0,pretrend,-0.048569375846956586,-0.01148073923904749,0.19553011300027787,-0.4466329249729354,-0.3797446849482378,0.26427925233081656,0.3363914994975253,0.482,0.964,0.964,-0.0,correction_completion,PT_conditional,3,200,22,1170368606,raw_structured,,,,
PRE_SUB,X2=low_k=-2,,,-2.0,pretrend,-0.10896136100083624,-0.04130925196852288,0.16556859636960256,-0.4842855621270236,-0.4256496042617712,0.09200074733127588,0.1538782865914248,0.4513333333333333,0.9026666666666666,0.9026666666666666,-0.0,correction_completion,PT_conditional,3,200,22,1170368606,raw_structured,,,,
PRE_SUB,X2=high_k=-4,,,-4.0,pretrend,-0.21292151269925458,-0.20205495285482694,0.2162239957494645,-0.6707851761354896,-0.5901423154572832,0.11074187186540378,0.17476767119689413,0.18666666666666668,0.37333333333333335,0.37333333333333335,-0.0,correction_completion,PT_conditional,3,200,22,1170368606,raw_structured,,,,
PRE_SUB,X2=high_k=-3,,,-3.0,pretrend,-0.04895460224617761,-0.011200035108921851,0.19677499579194824,-0.46086550361664425,-0.3783079156165225,0.2653046773058354,0.33723794233280924,0.484,0.968,0.968,-0.0,correction_completion,PT_conditional,3,200,22,1170368606,raw_structured,,,,
PRE_SUB,X2=high_k=-2,,,-2.0,pretrend,-0.10997076780537261,-0.04154572353344375,0.16644301280500673,-0.4855874235198889,-0.42784960783421694,0.09200074733127651,0.15385105696903947,0.4533333333333333,0.9066666666666666,0.9066666666666666,-0.0,correction_completion,PT_conditional,3,200,22,1170368606,raw_structured,,,,
PRE_SUBC,X1_k=-4,,,-4.0,pretrend,-0.007437430609243552,0.0,0.06978158234366998,-0.17775724505206786,-0.008620666750737043,2.0261570199408854e-15,0.025533851285540723,0.5293333333333333,1.0,1.0,-0.0,correction_completion,PT_conditional,3,200,22,1170368606,raw_structured,,,,
PRE_SUBC,X1_k=-3,,,-3.0,pretrend,-0.006634933066258116,0.0,0.06434056416543468,-0.1090165940140741,-1.3993172543056468e-05,1.15255027743899e-15,0.00756854102976823,0.5706666666666667,1.0,1.0,-0.0,correction_completion,PT_conditional,3,200,22,1170368606,raw_structured,,,,
