spec,group,n_obs,att_log,post_sd,lo95_log,hi95_log,att_pct,lo95_pct,hi95_pct,p_bayes,setting,rep,sigma2_shape,sigma2_rate,method_version,smoke_only,method_label
structured,All treated,291,0.04083961622871762,0.04660013325158823,-0.010900442110618747,0.11087419737238906,4.268142365265186,-1.0841247568972312,11.725434448084027,0.5,mpdta,0,2.0,1.0,0.2.0-proper-ig,True,DiD-BCF
structured,Small population,72,0.002695285462063341,0.06132203969712804,-0.0756581524127085,0.08924113083260098,0.43540229522450596,-7.286690939660579,9.334426355572823,1.0,mpdta,0,2.0,1.0,0.2.0-proper-ig,True,DiD-BCF
structured,Medium population,119,0.0385815944772506,0.05151676640353467,-0.02202241517313299,0.11852257099816477,4.055305610569504,-2.1781692127272656,12.583228497364797,0.5,mpdta,0,2.0,1.0,0.2.0-proper-ig,True,DiD-BCF
structured,High population,100,0.07099058026495457,0.06013503511070258,0.004773188826276888,0.1670505296024377,7.528763410520897,0.47845986385688377,18.181398039024366,0.0,mpdta,0,2.0,1.0,0.2.0-proper-ig,True,DiD-BCF
