N,internal_propensity_used,corr_pi_D,mean_pi_treated,mean_pi_control,perfectly_separated,accuracy_of_threshold_rule,retention_published,retention_constant_pi
200,True,0.9682490930721545,0.9253277039377019,0.028819642152257283,True,1.0,0.39731584721220375,0.9453362102290844
800,True,0.9800657953882502,0.9515125237123431,0.018860255339289998,True,1.0,0.1229772881332487,0.9770921223126335
