family,design,degree,N,task_estimator,estimator,method,estimand_type,estimand_id,point_summary,n_reps,mean_true,bias,abs_bias,rmse,mae,empirical_sd_error,emp_sd,raw_sd_est,raw_variance_est,bias_mcse,mcse_bias,avg_post_sd,sd_ratio_error,sd_ratio,cover90,mcse_cover90,len90,cover95,mcse_cover95,len95
correction_audit,baseline,1,200,current_hybrid_intercept,,current_hybrid,ATT,ATT,mean,100,3.742282090798908,-0.017800207261622823,0.017800207261622823,0.16038227786747625,0.12479001824649219,0.16019441368904033,0.16019441368904033,0.19620295972673132,0.03849560140552935,0.016019441368904035,0.016019441368904035,0.18746206811803645,1.170216013162147,1.170216013162147,0.94,0.023748684174075843,0.6137635661257741,0.97,0.017058722109231986,0.7342365016448282
correction_audit,baseline,1,200,current_hybrid_intercept,,current_hybrid,ATT,ATT,median,100,3.742282090798908,-0.018343678886115496,0.018343678886115496,0.16020003802026617,0.12461234078997037,0.15994810277850197,0.15994810277850197,0.19596731891903738,0.038403190084315704,0.015994810277850196,0.015994810277850196,0.18746206811803645,1.1720180787491812,1.1720180787491812,0.94,0.023748684174075843,0.6137635661257741,0.97,0.017058722109231986,0.7342365016448282
correction_audit,baseline,1,200,current_hybrid_intercept,,current_hybrid,ES,k=0,mean,100,3.742282090798908,-0.03264601355918491,0.03264601355918491,0.19555460252151233,0.16275964919825292,0.1937817171590011,0.1937817171590011,0.22888426846023383,0.05238800834857639,0.01937817171590011,0.01937817171590011,0.22370312437250037,1.1544077927070295,1.1544077927070295,0.94,0.023748684174075843,0.734051133205824,0.96,0.019595917942265433,0.8751626380107121
correction_audit,baseline,1,200,current_hybrid_intercept,,current_hybrid,ES,k=0,median,100,3.742282090798908,-0.032416806302629005,0.032416806302629005,0.19566094582020344,0.16288736190215583,0.19392895811703317,0.19392895811703317,0.22907349394258475,0.05247466562706341,0.019392895811703316,0.019392895811703316,0.22370312437250037,1.1535313062296706,1.1535313062296706,0.94,0.023748684174075843,0.734051133205824,0.96,0.019595917942265433,0.8751626380107121
correction_audit,baseline,1,200,current_hybrid_intercept,,current_hybrid,ES,k=1,mean,100,3.742282090798908,-0.019768889717313318,0.019768889717313318,0.2071719698711134,0.16938664158713096,0.2072655450412214,0.2072655450412214,0.23567650599234277,0.05554341547675878,0.02072655450412214,0.02072655450412214,0.22447953775108612,1.0830528427020572,1.0830528427020572,0.94,0.023748684174075843,0.7359143026637374,0.96,0.019595917942265433,0.8785494701361318
correction_audit,baseline,1,200,current_hybrid_intercept,,current_hybrid,ES,k=1,median,100,3.742282090798908,-0.019195260751365694,0.019195260751365694,0.20657726792511855,0.16897313915659343,0.20671971359300262,0.20671971359300262,0.23558577046207058,0.05550065524420741,0.02067197135930026,0.02067197135930026,0.22447953775108612,1.0859125810954329,1.0859125810954329,0.94,0.023748684174075843,0.7359143026637374,0.96,0.019595917942265433,0.8785494701361318
correction_audit,baseline,1,200,current_hybrid_intercept,,current_hybrid,ES,k=2,mean,100,3.742282090798908,-0.013880305045951129,0.013880305045951129,0.20524061190210086,0.16326658753651727,0.20580231248462766,0.20580231248462766,0.23577918880351326,0.055591825872842754,0.020580231248462765,0.020580231248462765,0.2227547077655069,1.0823722293312206,1.0823722293312206,0.91,0.028618176042508364,0.7305744610058553,0.98,0.014000000000000005,0.8727387664904614
correction_audit,baseline,1,200,current_hybrid_intercept,,current_hybrid,ES,k=2,median,100,3.742282090798908,-0.013545931670260738,0.013545931670260738,0.20524428245624393,0.16339663842382623,0.20582851353984777,0.20582851353984777,0.23570724423349582,0.055557904984148844,0.020582851353984778,0.020582851353984778,0.2227547077655069,1.0822344481557085,1.0822344481557085,0.91,0.028618176042508364,0.7305744610058553,0.98,0.014000000000000005,0.8727387664904614
correction_audit,baseline,1,200,current_hybrid_intercept,,current_hybrid,ES,k=3,mean,100,3.742282090798908,-0.004905620724042112,0.004905620724042112,0.19675808812761195,0.15306198242624083,0.1976878473218126,0.1976878473218126,0.22305961553879747,0.04975559208431614,0.01976878473218126,0.01976878473218126,0.22459287971417427,1.1360985652727729,1.1360985652727729,0.95,0.021794494717703377,0.7382057679487205,0.98,0.014000000000000005,0.8804362885162424
correction_audit,baseline,1,200,current_hybrid_intercept,,current_hybrid,ES,k=3,median,100,3.742282090798908,-0.005235617111105451,0.005235617111105451,0.19641168854148758,0.15288441545321457,0.1973310291357698,0.1973310291357698,0.22282240560984293,0.04964982444175736,0.01973310291357698,0.01973310291357698,0.22459287971417427,1.138152882989565,1.138152882989565,0.95,0.021794494717703377,0.7382057679487205,0.98,0.014000000000000005,0.8804362885162424
