dgp,setting,linearity_degree,N,method,mean,sd,rmse,estimand_type,estimand_id
canonical,B2_sweep_serial,2,1600,twfe,0.008751532481655565,2.778719750402882,2.7648050936887105,ATT,ATT
canonical,B2_sweep_serial,3,200,synthdid,-0.3437713556608867,2.328713762465983,2.3424042039315958,ATT,ATT
canonical,B2_sweep_serial,3,200,twfe,-0.3108036069392552,2.802685619784328,2.8059036153437025,ATT,ATT
canonical,B2_sweep_serial,3,400,twfe,0.20978472319100405,2.978665675465366,2.9711503402247956,ATT,ATT
canonical,B2_sweep_serial,3,800,twfe,-0.27755439153956124,3.133150145863645,3.12977634639011,ATT,ATT
canonical,B2_sweep_serial,3,1600,twfe,0.0087515324816561,2.7787197504028796,2.764805093688708,ATT,ATT
staggered,D_contamination,1,200,synthdid,-28.650781534969692,3.7108074817811607,28.887708005477602,ATT,ATT
staggered,D_contamination,1,200,twfe,-13.658152656822164,2.845278677302221,13.948469042911265,ATT,ATT
staggered,D_contamination,2,200,synthdid,-28.650781534969695,3.71080748178117,28.88770800547761,ATT,ATT
staggered,D_contamination,2,200,twfe,-13.658152656822164,2.8452786773022205,13.948469042911261,ATT,ATT
staggered,D_contamination,3,200,synthdid,-28.521698432415597,3.827941380435528,28.774882889936986,ATT,ATT
staggered,D_contamination,3,200,twfe,-13.658152656822164,2.845278677302223,13.948469042911265,ATT,ATT
staggered,D_ramp_nt05,1,200,synthdid,-18.581147398465067,5.749238776327668,19.44601543808342,ATT,ATT
staggered,D_ramp_nt05,1,200,twfe,-16.705819899838577,2.4124295044421125,16.87824444541481,ATT,ATT
staggered,D_ramp_nt05,2,200,synthdid,-18.581147398465067,5.749238776327674,19.44601543808342,ATT,ATT
staggered,D_ramp_nt05,2,200,twfe,-16.705819899838577,2.4124295044421125,16.87824444541481,ATT,ATT
staggered,D_ramp_nt05,3,200,synthdid,-18.55244287730482,5.746919381272287,19.417906264029273,ATT,ATT
staggered,D_ramp_nt05,3,200,twfe,-16.689683081438798,2.4016162081429293,16.860736726727666,ATT,ATT
staggered,D_ramp_nt10,1,200,synthdid,-18.38934840981215,3.9578033782984514,18.80834978090383,ATT,ATT
staggered,D_ramp_nt10,1,200,twfe,-12.575450449842947,2.598607796083244,12.83981902839485,ATT,ATT
staggered,D_ramp_nt10,2,200,synthdid,-18.389348409812154,3.957803378298454,18.808349780903832,ATT,ATT
staggered,D_ramp_nt10,2,200,twfe,-12.575450449842947,2.598607796083244,12.83981902839485,ATT,ATT
staggered,D_ramp_nt10,3,200,synthdid,-18.347109485616038,3.9628536145566833,18.768114295361027,ATT,ATT
staggered,D_ramp_nt10,3,200,twfe,-12.553491051403425,2.573655439534482,12.813302516818375,ATT,ATT
staggered,D_ramp_nt20,1,200,synthdid,-18.25034184698296,3.2703777932667224,18.539602789377017,ATT,ATT
staggered,D_ramp_nt20,1,200,twfe,-8.09644943095792,2.5249438547863234,8.479148433099455,ATT,ATT
staggered,D_ramp_nt20,2,200,synthdid,-18.250341846982966,3.2703777932667184,18.539602789377017,ATT,ATT
staggered,D_ramp_nt20,2,200,twfe,-8.09644943095792,2.5249438547863234,8.479148433099455,ATT,ATT
staggered,D_ramp_nt20,3,200,synthdid,-18.22290134198457,3.2965327178387946,18.517206205032274,ATT,ATT
staggered,D_ramp_nt20,3,200,twfe,-8.067859618086134,2.5260438687590967,8.452180307820337,ATT,ATT
staggered,D_ramp_nt25,1,200,synthdid,-18.100078826243234,3.0174363713931767,18.348630770723684,ATT,ATT
staggered,D_ramp_nt25,1,200,twfe,-6.620720368291021,2.429637338381582,7.0503588634325025,ATT,ATT
staggered,D_ramp_nt25,2,200,synthdid,-18.100078826243234,3.017436371393172,18.348630770723684,ATT,ATT
staggered,D_ramp_nt25,2,200,twfe,-6.620720368291021,2.429637338381582,7.0503588634325025,ATT,ATT
staggered,D_ramp_nt25,3,200,synthdid,-18.069858339353264,3.049290649285126,18.32406786171655,ATT,ATT
staggered,D_ramp_nt25,3,200,twfe,-6.591572547387699,2.4368864721226893,7.025493025197566,ATT,ATT
staggered,D_ramp_nt30,1,200,synthdid,-17.941162237762416,2.9836102626876526,18.18633341249217,ATT,ATT
staggered,D_ramp_nt30,1,200,twfe,-5.462343612516675,2.4913111683165914,6.001066232086913,ATT,ATT
staggered,D_ramp_nt30,2,200,synthdid,-17.94116223776242,2.983610262687653,18.18633341249217,ATT,ATT
staggered,D_ramp_nt30,2,200,twfe,-5.462343612516675,2.4913111683165914,6.001066232086913,ATT,ATT
