setting,N,linearity_degree,method,n_reps
B2_sweep,100,2,did2s,100
B2_sweep,100,2,did_dr,100
B2_sweep,100,2,doubleml,100
B2_sweep,100,2,plain,100
B2_sweep,100,2,synthdid,100
B2_sweep,100,2,wang,100
B2_sweep,100,3,corrected,100
B2_sweep,100,3,did2s,100
B2_sweep,100,3,did_dr,100
B2_sweep,100,3,doubleml,100
B2_sweep,100,3,plain,100
B2_sweep,100,3,synthdid,100
B2_sweep,100,3,wang,100
B2_sweep,200,1,corrected,100
B2_sweep,200,1,did2s,100
B2_sweep,200,1,did_dr,100
B2_sweep,200,1,doubleml,100
B2_sweep,200,1,plain,100
B2_sweep,200,1,synthdid,100
B2_sweep,200,1,twfe,100
B2_sweep,200,1,wang,100
B2_sweep,200,2,corrected,100
B2_sweep,200,2,did2s,100
B2_sweep,200,2,did_dr,100
B2_sweep,200,2,doubleml,100
B2_sweep,200,2,plain,100
B2_sweep,200,2,synthdid,100
B2_sweep,200,2,twfe,100
B2_sweep,200,2,wang,100
B2_sweep,200,3,corrected,100
B2_sweep,200,3,did2s,100
B2_sweep,200,3,did_dr,100
B2_sweep,200,3,doubleml,100
B2_sweep,200,3,plain,100
B2_sweep,200,3,synthdid,100
B2_sweep,200,3,twfe,100
B2_sweep,200,3,wang,100
B2_sweep,400,1,corrected,100
B2_sweep,400,1,did2s,100
B2_sweep,400,1,did_dr,100
B2_sweep,400,1,doubleml,100
B2_sweep,400,1,plain,100
B2_sweep,400,1,synthdid,100
B2_sweep,400,1,twfe,100
B2_sweep,400,1,wang,100
B2_sweep,400,2,corrected,100
B2_sweep,400,2,did2s,100
B2_sweep,400,2,did_dr,100
B2_sweep,400,2,doubleml,100
B2_sweep,400,2,plain,100
B2_sweep,400,2,synthdid,100
B2_sweep,400,2,twfe,100
B2_sweep,400,2,wang,100
B2_sweep,400,3,corrected,100
B2_sweep,400,3,did2s,100
B2_sweep,400,3,did_dr,100
B2_sweep,400,3,doubleml,100
B2_sweep,400,3,plain,100
B2_sweep,400,3,synthdid,100
B2_sweep,400,3,twfe,100
B2_sweep,400,3,wang,100
B2_sweep,800,1,corrected,100
B2_sweep,800,1,did2s,100
B2_sweep,800,1,did_dr,100
B2_sweep,800,1,doubleml,100
B2_sweep,800,1,plain,100
B2_sweep,800,1,synthdid,100
B2_sweep,800,1,twfe,100
B2_sweep,800,1,wang,100
B2_sweep,800,2,corrected,100
B2_sweep,800,2,did2s,100
B2_sweep,800,2,did_dr,100
B2_sweep,800,2,doubleml,100
B2_sweep,800,2,plain,100
B2_sweep,800,2,synthdid,100
B2_sweep,800,2,twfe,100
B2_sweep,800,2,wang,100
B2_sweep,800,3,corrected,100
B2_sweep,800,3,did2s,100
B2_sweep,800,3,did_dr,100
B2_sweep,800,3,doubleml,100
B2_sweep,800,3,plain,100
B2_sweep,800,3,synthdid,100
B2_sweep,800,3,twfe,100
B2_sweep,800,3,wang,100
B2_sweep,1600,1,doubleml,100
B2_sweep,1600,1,twfe,100
B2_sweep,1600,1,wang,100
B2_sweep,1600,2,doubleml,100
B2_sweep,1600,2,twfe,100
B2_sweep,1600,2,wang,100
B2_sweep,1600,3,doubleml,100
B2_sweep,1600,3,twfe,100
B2_sweep,1600,3,wang,100
B2_sweep_serial,50,1,corrected,100
B2_sweep_serial,50,1,did2s,100
B2_sweep_serial,50,1,did_dr,100
B2_sweep_serial,50,1,doubleml,100
B2_sweep_serial,50,1,plain,100
B2_sweep_serial,50,1,synthdid,100
B2_sweep_serial,50,1,wang,100
B2_sweep_serial,50,2,corrected,100
B2_sweep_serial,50,2,did2s,100
B2_sweep_serial,50,2,did_dr,100
B2_sweep_serial,50,2,doubleml,100
B2_sweep_serial,50,2,plain,100
B2_sweep_serial,50,2,synthdid,100
B2_sweep_serial,50,2,wang,100
B2_sweep_serial,50,3,corrected,100
B2_sweep_serial,50,3,did2s,100
B2_sweep_serial,50,3,did_dr,100
B2_sweep_serial,50,3,doubleml,100
B2_sweep_serial,50,3,plain,100
B2_sweep_serial,50,3,synthdid,100
B2_sweep_serial,50,3,wang,100
B2_sweep_serial,100,1,corrected,100
B2_sweep_serial,100,1,did2s,100
B2_sweep_serial,100,1,did_dr,100
B2_sweep_serial,100,1,doubleml,100
B2_sweep_serial,100,1,plain,100
B2_sweep_serial,100,1,synthdid,100
B2_sweep_serial,100,1,wang,100
B2_sweep_serial,100,2,corrected,100
B2_sweep_serial,100,2,did2s,100
B2_sweep_serial,100,2,did_dr,100
B2_sweep_serial,100,2,doubleml,100
B2_sweep_serial,100,2,plain,100
B2_sweep_serial,100,2,synthdid,100
B2_sweep_serial,100,2,wang,100
B2_sweep_serial,100,3,corrected,100
B2_sweep_serial,100,3,did2s,100
B2_sweep_serial,100,3,did_dr,100
B2_sweep_serial,100,3,doubleml,100
B2_sweep_serial,100,3,plain,100
B2_sweep_serial,100,3,synthdid,100
B2_sweep_serial,100,3,wang,100
B2_sweep_serial,200,1,corrected,100
B2_sweep_serial,200,1,did2s,100
B2_sweep_serial,200,1,did_dr,100
B2_sweep_serial,200,1,doubleml,100
B2_sweep_serial,200,1,plain,100
B2_sweep_serial,200,1,synthdid,100
B2_sweep_serial,200,1,twfe,100
B2_sweep_serial,200,1,wang,100
B2_sweep_serial,200,2,corrected,100
B2_sweep_serial,200,2,did2s,100
B2_sweep_serial,200,2,did_dr,100
B2_sweep_serial,200,2,doubleml,100
B2_sweep_serial,200,2,plain,100
