setting,true_slope,n_reps,slope_bias,slope_cover95,diag_detect_slope,diag_mcse_slope,twfe_detect_slope,twfe_mcse_slope,diag_detect_anyk,diag_mcse_anyk,twfe_detect_anyk,twfe_mcse_anyk,diag_detect,twfe_detect,att_bias_plain,att_bias_corrected,family
PT_violation_het40,-0.0012801660265436,200,0.0484942701047871,0.94,0.1,0.0212132034355964,0.065,0.0174320107847603,0.09,0.020236106344848,0.045,0.014658615214269,0.1,0.065,,,alpha_trend
PT_violation_het10,-0.0003200415066359,200,0.0439550599292318,0.945,0.055,0.0161206389451535,0.045,0.014658615214269,0.03,0.0120623380818148,0.035,0.012995191418367,0.055,0.045,,,alpha_trend
PT_violation_het20,-0.0002421187219978,150,0.0445488908689664,0.9333333333333332,0.0866666666666666,0.022971802360801,0.0733333333333333,0.0212846667119087,0.0466666666666666,0.0172218637955533,0.04,0.016,0.0866666666666666,0.0733333333333333,,,alpha_trend
PT_violation_a20,0.2070486057414942,200,0.0190460836314411,0.975,0.91,0.020236106344848,0.705,0.0322470928922282,0.84,0.0259229627936314,0.665,0.0333747659167821,0.91,0.705,,,alpha_trend
PT_conditional,0.0,200,0.0652743466516711,0.935,0.1,0.0212132034355964,0.755,0.0304117575947198,0.055,0.0161206389451535,0.71,0.0320858224142688,0.1,0.755,,,conditional
PT_violation_g05,0.0499999999999999,200,0.0342515632075062,0.95,0.23,0.029757352032733,0.1,0.0212132034355964,0.11,0.0221246468898375,0.06,0.0167928556237466,0.23,0.1,,,group_trend
PT_violation_g10,0.0999999999999999,200,0.0268304351080236,0.965,0.51,0.0353482672842672,0.25,0.0306186217847897,0.385,0.0344074846508721,0.2,0.0282842712474619,0.51,0.25,,,group_trend
PT_violation_g20,0.1999999999999999,200,0.0183312763128197,0.965,0.9,0.0212132034355964,0.7,0.0324037034920393,0.845,0.0255905255905383,0.69,0.0327032108515356,0.9,0.7,,,group_trend
PT_violation_g40,0.3999999999999999,200,0.0111201075596626,0.955,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,,,group_trend
PT_hold,0.0,200,0.0437226046728722,0.955,0.055,0.0161206389451535,0.045,0.014658615214269,0.045,0.014658615214269,0.035,0.012995191418367,0.055,0.045,,,hold
