setting,method,estimand_type,n_cells,n_reps,retention,mean_true,bias,abs_bias,rel_abs_bias,rmse,cover95,mcse_bias,never_treated_share,w_already_treated,w_earlier_vs_later,w_treated_vs_untreated,linearity_degree
D_ramp_nt40,corrected,ATT,1,200,1.0,5.276193397701584,-0.0073454758337406,0.0073454758337406,0.001392192302302724,0.1434554018224599,0.995,0.0183366751046295,0.4,0.0765002249808596,0.1423103197415362,0.7811894552776042,1
D_ramp_nt30,corrected,ATT,1,200,1.0,5.28465171594592,-0.0137904695212836,0.0137904695212836,0.002609532332977064,0.1598616100671294,0.995,0.0176966494238543,0.3,0.0997907306255663,0.1861159313816823,0.7140933379927514,1
D_ramp_nt10,corrected,ATT,1,200,1.0,5.321743843263681,0.0437015592618416,0.0437015592618416,0.008211887033450415,0.3616417293799708,0.99,0.0267946337071276,0.1,0.1955276342967005,0.3674233427442675,0.437049022959032,1
D_ramp_nt05,corrected,ATT,1,200,1.0,5.33096622403097,0.1490642859317342,0.1490642859317342,0.027961964054429963,0.6330735808946847,0.975,0.0440851047573131,0.05,0.2499790825645787,0.470983604530768,0.2790373129046532,1
D_ramp_nt40,plain,ATT,1,200,1.0,5.276193397701584,-0.0033764849367678,0.0033764849367678,0.0006399471517171195,0.1006181280826444,0.975,0.0159115870695966,0.4,0.0765002249808596,0.1423103197415362,0.7811894552776042,1
D_ramp_nt30,plain,ATT,1,200,1.0,5.28465171594592,-0.0150456904599971,0.0150456904599971,0.002847054312888435,0.1051421843226264,0.965,0.0149021730149415,0.3,0.0997907306255663,0.1861159313816823,0.7140933379927514,1
D_ramp_nt10,plain,ATT,1,200,1.0,5.321743843263681,-0.1190907025872268,0.1190907025872268,0.022378135080284457,0.1920310587660277,0.85,0.0147866226254808,0.1,0.1955276342967005,0.3674233427442675,0.437049022959032,1
D_ramp_nt05,plain,ATT,1,200,1.0,5.33096622403097,-0.2466974866444933,0.2466974866444933,0.04627631770248863,0.3055821018450321,0.67,0.0164697861600178,0.05,0.2499790825645787,0.470983604530768,0.2790373129046532,1
D_ramp_nt40,synthdid,ATT,1,200,1.0,5.276193397701584,-1.246982600783176,1.246982600783176,0.2363413367914805,1.2648264701929397,0.0,0.0170628497723004,0.4,0.0765002249808596,0.1423103197415362,0.7811894552776042,1
D_ramp_nt30,synthdid,ATT,1,200,1.0,5.284651715945921,-1.2686317480689815,1.2686317480689815,0.24005967020324326,1.28596796808927,0.0,0.0159525996522068,0.3,0.0997907306255663,0.1861159313816823,0.7140933379927514,1
D_ramp_nt25,synthdid,ATT,1,200,1.0,5.292340250223016,-1.2798688478047635,1.2798688478047635,0.24183419570403294,1.2974441243466863,0.0,0.0161266020130871,0.25,0.1156694565829944,0.2161656593135918,0.6681648841034138,1
D_ramp_nt20,synthdid,ATT,1,200,1.0,5.302292602742,-1.2904940478974272,1.2904940478974272,0.24338416315049605,1.310947885287352,0.0,0.01665721892176,0.2,0.1355908242163013,0.2538615667589874,0.6105476090247112,1
