unit_id,time,lpop,lpop_group,spec,catt_log,catt_pct
8001,2007,5.8967609333053,3,structured_rfx_unit,-0.08437889980306254,-8.091705023597218
8019,2007,2.23237719795055,1,structured_rfx_unit,-0.07595721458865652,-7.314413837965727
8023,2007,1.29828248379668,1,structured_rfx_unit,0.18877703643333588,20.77716333887485
8029,2007,3.32625829499766,2,structured_rfx_unit,-0.058790461559710766,-5.709567683998495
8041,2007,6.24790553432335,3,structured_rfx_unit,-0.07400840302480254,-7.1336109777202505
8063,2007,2.08081559723298,1,structured_rfx_unit,-0.06204108090252271,-6.015572365308475
8075,2007,3.02061998906177,2,structured_rfx_unit,-0.058790461559710766,-5.709567683998495
8103,2007,1.78942340943051,1,structured_rfx_unit,0.09687864621284775,10.172666680483712
8117,2007,3.15904089116601,2,structured_rfx_unit,-0.058790461559710766,-5.709567683998495
8123,2007,5.19814337757751,3,structured_rfx_unit,-0.02278670233770591,-2.2529046191191116
12007,2006,3.26147543848702,2,structured_rfx_unit,0.03375884053630012,3.433513694141621
12007,2007,3.26147543848702,2,structured_rfx_unit,0.021030617239681304,2.125331911651096
12019,2006,4.94743987059911,3,structured_rfx_unit,0.07174755250273734,7.4384084252655525
12019,2007,4.94743987059911,3,structured_rfx_unit,0.05901932920611851,6.079574488159634
12023,2006,4.03447070018167,3,structured_rfx_unit,0.060253268584653075,6.21055104432513
12023,2007,4.03447070018167,3,structured_rfx_unit,0.04752504528803425,4.867246509633127
12029,2006,2.62662320240648,1,structured_rfx_unit,0.031107068434388832,3.159594933702392
12029,2007,2.62662320240648,1,structured_rfx_unit,0.018378845137770022,1.8548775557311492
12051,2006,3.58933532377755,2,structured_rfx_unit,0.060253268584653075,6.21055104432513
12051,2007,3.58933532377755,2,structured_rfx_unit,0.04752504528803425,4.867246509633127
12071,2006,6.08879087493748,3,structured_rfx_unit,0.00817040229294834,0.8203871118924511
12071,2007,6.08879087493748,3,structured_rfx_unit,-0.004557821003670491,-0.45474499000471846
12087,2006,4.37687589234631,3,structured_rfx_unit,0.07244604151133843,7.51347918765124
12087,2007,4.37687589234631,3,structured_rfx_unit,0.05971781821471962,6.153695788419911
12093,2006,3.58101580823799,2,structured_rfx_unit,0.060253268584653075,6.21055104432513
12093,2007,3.58101580823799,2,structured_rfx_unit,0.04752504528803425,4.867246509633127
12097,2006,5.15035665593789,3,structured_rfx_unit,0.06976259975830498,7.225359777305251
12097,2007,5.15035665593789,3,structured_rfx_unit,0.05703437646168615,5.869220386194063
12099,2006,7.03102015077071,3,structured_rfx_unit,0.07126242673215023,7.386299925197681
12099,2007,7.03102015077071,3,structured_rfx_unit,0.05853420343553142,6.028125033579723
12109,2006,4.81328131446834,3,structured_rfx_unit,0.07174755250273734,7.4384084252655525
12109,2007,4.81328131446834,3,structured_rfx_unit,0.05901932920611851,6.079574488159634
12113,2006,4.76850428314641,3,structured_rfx_unit,0.07174755250273734,7.4384084252655525
12113,2007,4.76850428314641,3,structured_rfx_unit,0.05901932920611851,6.079574488159634
12121,2006,3.55088095595665,2,structured_rfx_unit,0.060253268584653075,6.21055104432513
12121,2007,3.55088095595665,2,structured_rfx_unit,0.04752504528803425,4.867246509633127
17005,2004,2.86977214642579,2,structured_rfx_unit,0.005760864202632315,0.5777489891592325
17005,2005,2.86977214642579,2,structured_rfx_unit,-0.006967359093986502,-0.6943143320249812
17005,2006,2.86977214642579,2,structured_rfx_unit,-0.05448499074528189,-5.302727789404315
17005,2007,2.86977214642579,2,structured_rfx_unit,-0.03592864083821551,-3.5290868138015186
17015,2004,2.81385061998842,2,structured_rfx_unit,0.00921632492850891,0.9258926025710101
17015,2005,2.81385061998842,2,structured_rfx_unit,-0.0035118983681099065,-0.350573886566119
17015,2006,2.81385061998842,2,structured_rfx_unit,-0.051029530019405286,-4.974939080082641
17015,2007,2.81385061998842,2,structured_rfx_unit,-0.03247318011233891,-3.195158756718064
17025,2004,2.67827804276854,1,structured_rfx_unit,0.00921632492850891,0.9258926025710101
17025,2005,2.67827804276854,1,structured_rfx_unit,-0.0035118983681099065,-0.350573886566119
17025,2006,2.67827804276854,1,structured_rfx_unit,-0.051029530019405286,-4.974939080082641
17025,2007,2.67827804276854,1,structured_rfx_unit,-0.03247318011233891,-3.195158756718064
17035,2004,2.42063475976786,1,structured_rfx_unit,0.00921632492850891,0.9258926025710101
17035,2005,2.42063475976786,1,structured_rfx_unit,-0.0035118983681099065,-0.350573886566119
17035,2006,2.42063475976786,1,structured_rfx_unit,-0.051029530019405286,-4.974939080082641
17035,2007,2.42063475976786,1,structured_rfx_unit,-0.03247318011233891,-3.195158756718064
17047,2004,1.94175868650426,1,structured_rfx_unit,0.17676421953638208,19.33496914104298
