estimand_type,estimand_id,g,t,k,method,post_mean,post_median,sd,q025,q05,q95,q975,p_bayes_tail_min,p_bayes_two_sided,p_bayes,true,family,design,degree,N,rep,seed,task_estimator,target_g,target_t
GATT,g=4_t=4,4.0,4.0,0.0,full_panel_raw,3.749828852291441,3.741053909988276,0.1477600338732379,3.480513673706478,3.520587132068624,3.990104209439194,4.070594681568166,0.0,0.0,0.0,3.626810467168561,information_ablation,baseline,1,200,0,3090460067,full_panel_raw,,
GATT,g=4_t=5,4.0,5.0,1.0,full_panel_raw,3.659111629827954,3.663934845357164,0.1313803946255305,3.3911547969640785,3.4462870581376523,3.862257523173109,3.898890075460768,0.0,0.0,0.0,3.626810467168561,information_ablation,baseline,1,200,0,3090460067,full_panel_raw,,
GATT,g=4_t=6,4.0,6.0,2.0,full_panel_raw,3.6755767844214886,3.675054826732447,0.1272335488370292,3.4406606842354117,3.468969677189221,3.8833497722006673,3.9288168938427153,0.0,0.0,0.0,3.626810467168561,information_ablation,baseline,1,200,0,3090460067,full_panel_raw,,
GATT,g=4_t=7,4.0,7.0,3.0,full_panel_raw,3.6988164286577008,3.7025457541364,0.1375531048900631,3.4433406105235047,3.469544214395782,3.9284187565610735,3.968431840162296,0.0,0.0,0.0,3.626810467168561,information_ablation,baseline,1,200,0,3090460067,full_panel_raw,,
ES,k=0,,,0.0,full_panel_raw,3.749828852291441,3.741053909988276,0.1477600338732379,3.480513673706478,3.520587132068624,3.990104209439194,4.070594681568166,0.0,0.0,0.0,3.626810467168561,information_ablation,baseline,1,200,0,3090460067,full_panel_raw,,
ES,k=1,,,1.0,full_panel_raw,3.659111629827954,3.663934845357164,0.1313803946255305,3.3911547969640785,3.4462870581376523,3.862257523173109,3.898890075460768,0.0,0.0,0.0,3.626810467168561,information_ablation,baseline,1,200,0,3090460067,full_panel_raw,,
ES,k=2,,,2.0,full_panel_raw,3.6755767844214886,3.675054826732447,0.1272335488370292,3.4406606842354117,3.468969677189221,3.8833497722006673,3.9288168938427153,0.0,0.0,0.0,3.626810467168561,information_ablation,baseline,1,200,0,3090460067,full_panel_raw,,
ES,k=3,,,3.0,full_panel_raw,3.6988164286577008,3.7025457541364,0.1375531048900631,3.4433406105235047,3.469544214395782,3.9284187565610735,3.968431840162296,0.0,0.0,0.0,3.626810467168561,information_ablation,baseline,1,200,0,3090460067,full_panel_raw,,
ATT,ATT,,,,full_panel_raw,3.695833423799646,3.695634424969417,0.1079844421363301,3.495567849244766,3.5284725914749684,3.876859689478832,3.908655811201003,0.0,0.0,0.0,3.6268104671685606,information_ablation,baseline,1,200,0,3090460067,full_panel_raw,,
GATT,g=4_t=4,4.0,4.0,0.0,pooled_full_panel,3.754252181245152,3.749848652255099,0.1500859890062591,3.470333240403661,3.5143165417514632,4.010871186520835,4.063349410676267,0.0,0.0,0.0,3.626810467168561,information_ablation,baseline,1,200,0,3090460067,pooled_full_panel,,
GATT,g=4_t=5,4.0,5.0,1.0,pooled_full_panel,3.6529264513014814,3.656589954799064,0.1409525494736076,3.381949480572565,3.4238299273372808,3.8772000060423166,3.9233649745004855,0.0,0.0,0.0,3.626810467168561,information_ablation,baseline,1,200,0,3090460067,pooled_full_panel,,
GATT,g=4_t=6,4.0,6.0,2.0,pooled_full_panel,3.674623749120513,3.675072830955803,0.1326435673652465,3.4158707159094277,3.4589669615266203,3.884356135423982,3.924240926633871,0.0,0.0,0.0,3.626810467168561,information_ablation,baseline,1,200,0,3090460067,pooled_full_panel,,
GATT,g=4_t=7,4.0,7.0,3.0,pooled_full_panel,3.703763495539137,3.702008122621669,0.1455621280186598,3.438035619533276,3.4738338922800294,3.949006441912797,4.002226334532796,0.0,0.0,0.0,3.626810467168561,information_ablation,baseline,1,200,0,3090460067,pooled_full_panel,,
ES,k=0,,,0.0,pooled_full_panel,3.754252181245152,3.749848652255099,0.1500859890062591,3.470333240403661,3.5143165417514632,4.010871186520835,4.063349410676267,0.0,0.0,0.0,3.626810467168561,information_ablation,baseline,1,200,0,3090460067,pooled_full_panel,,
ES,k=1,,,1.0,pooled_full_panel,3.6529264513014814,3.656589954799064,0.1409525494736076,3.381949480572565,3.4238299273372808,3.8772000060423166,3.9233649745004855,0.0,0.0,0.0,3.626810467168561,information_ablation,baseline,1,200,0,3090460067,pooled_full_panel,,
ES,k=2,,,2.0,pooled_full_panel,3.674623749120513,3.675072830955803,0.1326435673652465,3.4158707159094277,3.4589669615266203,3.884356135423982,3.924240926633871,0.0,0.0,0.0,3.626810467168561,information_ablation,baseline,1,200,0,3090460067,pooled_full_panel,,
ES,k=3,,,3.0,pooled_full_panel,3.703763495539137,3.702008122621669,0.1455621280186598,3.438035619533276,3.4738338922800294,3.949006441912797,4.002226334532796,0.0,0.0,0.0,3.626810467168561,information_ablation,baseline,1,200,0,3090460067,pooled_full_panel,,
ATT,ATT,,,,pooled_full_panel,3.696391469301571,3.69711216577359,0.1115729739597729,3.480660799136555,3.5174099732042685,3.879229406894958,3.9060594889512825,0.0,0.0,0.0,3.6268104671685606,information_ablation,baseline,1,200,0,3090460067,pooled_full_panel,,
GATT,g=4_t=4,4.0,4.0,0.0,reduced_cell,3.761258985968836,3.7630331379406,0.2388015100376589,3.294053882895616,3.36176301764555,4.126794187058711,4.198032561811653,0.0,0.0,0.0,3.626810467168561,information_ablation,baseline,1,200,0,3090460067,reduced_cell,4.0,4.0
GATT,g=4_t=5,4.0,5.0,1.0,reduced_cell,3.51165053027114,3.512279596708088,0.2252648557151165,3.068133441054404,3.151427876353658,3.875289778148414,3.943056913413223,0.0,0.0,0.0,3.626810467168561,information_ablation,baseline,1,200,0,3090460067,reduced_cell,4.0,5.0
GATT,g=4_t=6,4.0,6.0,2.0,reduced_cell,3.6406556119804,3.637419170096681,0.2112756988183421,3.2355327054343483,3.293910087263479,3.97946763218906,4.046988618126512,0.0,0.0,0.0,3.626810467168561,information_ablation,baseline,1,200,0,3090460067,reduced_cell,4.0,6.0
GATT,g=4_t=7,4.0,7.0,3.0,reduced_cell,3.680338963447664,3.678056818500173,0.2159751956338963,3.262022604946731,3.321153991621548,4.0437584590861215,4.122260735524814,0.0,0.0,0.0,3.626810467168561,information_ablation,baseline,1,200,0,3090460067,reduced_cell,4.0,7.0
GATT,g=4_t=4,4.0,4.0,0.0,full_panel_raw,3.8161935641897538,3.812373066813919,0.1330032275990451,3.5532296902874414,3.5976043073835497,4.03313758315207,4.0758558409791,0.0,0.0,0.0,3.76213036212236,information_ablation,baseline,1,200,48,2805211715,full_panel_raw,,
GATT,g=4_t=5,4.0,5.0,1.0,full_panel_raw,3.823810823631496,3.825048775964158,0.1303674905805252,3.5555025643477864,3.6064608257820217,4.037464674324287,4.0758558409791,0.0,0.0,0.0,3.76213036212236,information_ablation,baseline,1,200,48,2805211715,full_panel_raw,,
GATT,g=4_t=6,4.0,6.0,2.0,full_panel_raw,3.878619562329932,3.8755242584072382,0.1307634037524218,3.622261760611144,3.672534094267348,4.098433688292737,4.129751212209474,0.0,0.0,0.0,3.76213036212236,information_ablation,baseline,1,200,48,2805211715,full_panel_raw,,
