"dgp","setting","linearity_degree","N","rep","estimand_type","estimand_id","g","t","k","method","post_mean","sd","q025","q05","q95","q975","p_bayes","surf_rmse","surf_mae","surf_n","surf_mape","surf_cover95","surf_len95","surf_cover90","surf_len90","true"
"canonical","B2_sweep_serial",2,800,0,"GATT","g=4_t=4",4,4,0,"wang",3.78073397064421,0.0571948349280925,3.66863415319921,3.6866568176334,3.87481112365503,3.89283378808922,0,,,,,,,,,3.78026273143589
"canonical","B2_sweep_serial",2,800,0,"GATT","g=4_t=5",4,5,1,"wang",3.66990401352979,0.0631712152012487,3.54609070589908,3.56599658752115,3.77381143953842,3.79371732116049,0,,,,,,,,,3.78026273143589
"canonical","B2_sweep_serial",2,800,0,"GATT","g=4_t=6",4,6,2,"wang",3.62329194502743,0.0703329458479079,3.48544190315158,3.50760451771772,3.73897937233715,3.76114198690328,0,,,,,,,,,3.78026273143589
"canonical","B2_sweep_serial",2,800,0,"GATT","g=4_t=7",4,7,3,"wang",3.69452726641389,0.0720704928864139,3.55327169489426,3.5759818279077,3.81307270492008,3.83578283793352,0,,,,,,,,,3.78026273143589
"canonical","B2_sweep_serial",2,800,0,"CATT","surface",,,,"wang",,,,,,,,0.27214202742812,0.216586223110638,1768,0.0571105639388965,0.885180995475113,0.923679754204735,0.813348416289593,0.77517665550116,
"canonical","B2_sweep_serial",2,800,1,"GATT","g=4_t=4",4,4,0,"wang",3.71806131709603,0.0692842738833198,3.58226663451858,3.60409880206196,3.83202383213011,3.85385599967348,0,,,,,,,,,3.72174717840429
"canonical","B2_sweep_serial",2,800,1,"GATT","g=4_t=5",4,5,1,"wang",3.66788054574779,0.0796370616750058,3.511794771799,3.53688920630341,3.79887188519217,3.82396631969658,0,,,,,,,,,3.72174717840429
"canonical","B2_sweep_serial",2,800,1,"GATT","g=4_t=6",4,6,2,"wang",3.78990939643485,0.0781397584237712,3.63675828295557,3.66138090223248,3.91843789063723,3.94306050991414,0,,,,,,,,,3.72174717840429
"canonical","B2_sweep_serial",2,800,1,"GATT","g=4_t=7",4,7,3,"wang",3.71143195976149,0.081354581386214,3.55197990900944,3.57761555115005,3.84524836837292,3.87088401051353,0,,,,,,,,,3.72174717840429
"canonical","B2_sweep_serial",2,800,1,"CATT","surface",,,,"wang",,,,,,,,0.274747558061447,0.224766789085202,1504,0.0669979822550929,0.856382978723404,0.867063825978403,0.773936170212766,0.727663060350027,
"canonical","B2_sweep_serial",2,800,2,"GATT","g=4_t=4",4,4,0,"wang",3.87353219334811,0.0680955414515429,3.74006738354258,3.76152496960938,3.98553941708685,4.00699700315364,0,,,,,,,,,3.73409914283539
"canonical","B2_sweep_serial",2,800,2,"GATT","g=4_t=5",4,5,1,"wang",3.93864673100699,0.0756486805896807,3.79037804040371,3.81421569614433,4.06307776586965,4.08691542161026,0,,,,,,,,,3.73409914283539
"canonical","B2_sweep_serial",2,800,2,"GATT","g=4_t=6",4,6,2,"wang",4.02577114471284,0.0818378422314989,3.86537192010142,3.89115984256699,4.16038244685869,4.18617036932425,0,,,,,,,,,3.73409914283539
"canonical","B2_sweep_serial",2,800,2,"GATT","g=4_t=7",4,7,3,"wang",3.83953528145131,0.0857541843908948,3.67146016719579,3.69848216823921,3.98058839466341,4.00761039570682,0,,,,,,,,,3.73409914283539
"canonical","B2_sweep_serial",2,800,2,"CATT","surface",,,,"wang",,,,,,,,0.336603724768741,0.282274271079217,1604,0.0825570631465822,0.782418952618454,0.865541213324498,0.688279301745636,0.726385243250209,
"canonical","B2_sweep_serial",2,800,3,"GATT","g=4_t=4",4,4,0,"wang",3.80792490092439,0.0649263781595671,3.68067153708126,3.70113048810312,3.91471931374567,3.93517826476753,0,,,,,,,,,3.76964927600855
"canonical","B2_sweep_serial",2,800,3,"GATT","g=4_t=5",4,5,1,"wang",3.72773547291233,0.0728830461568688,3.58488732623453,3.60785350290902,3.84761744291564,3.87058361959013,0,,,,,,,,,3.76964927600855
"canonical","B2_sweep_serial",2,800,3,"GATT","g=4_t=6",4,6,2,"wang",3.62976912170899,0.076538621262786,3.4797561794243,3.50387426437042,3.75566397904757,3.77978206399369,0,,,,,,,,,3.76964927600855
"canonical","B2_sweep_serial",2,800,3,"GATT","g=4_t=7",4,7,3,"wang",3.5678447364643,0.0777231821300445,3.41551009752397,3.44000144944496,3.69568802348363,3.72017937540463,0,,,,,,,,,3.76964927600855
"canonical","B2_sweep_serial",2,800,3,"CATT","surface",,,,"wang",,,,,,,,0.23968276580967,0.184000284646575,1640,0.0478318506975514,0.922560975609756,0.926094152726414,0.878048780487805,0.777202883057369,
"canonical","B2_sweep_serial",2,800,4,"GATT","g=4_t=4",4,4,0,"wang",3.81866563625933,0.0639013175290304,3.69342135434986,3.71355729851643,3.92377397400222,3.9439099181688,0,,,,,,,,,3.79652194840953
"canonical","B2_sweep_serial",2,800,4,"GATT","g=4_t=5",4,5,1,"wang",3.72914094595542,0.0759231757089525,3.5803342548002,3.60425840669785,3.85402348521299,3.87794763711064,0,,,,,,,,,3.79652194840953
"canonical","B2_sweep_serial",2,800,4,"GATT","g=4_t=6",4,6,2,"wang",3.68387114871214,0.0791305616926432,3.52877809649478,3.55371292778975,3.81402936963453,3.8389642009295,0,,,,,,,,,3.79652194840953
"canonical","B2_sweep_serial",2,800,4,"GATT","g=4_t=7",4,7,3,"wang",3.67649511885652,0.0808534351068123,3.51802529677083,3.54350302270734,3.8094872150057,3.8349649409422,0,,,,,,,,,3.79652194840953
"canonical","B2_sweep_serial",2,800,4,"CATT","surface",,,,"wang",,,,,,,,0.184059242726475,0.152512009136613,1604,0.0419204199958314,0.96571072319202,0.965906131472559,0.935785536159601,0.810614156166727,
"canonical","B2_sweep_serial",2,800,5,"GATT","g=4_t=4",4,4,0,"wang",3.64706717896675,0.0643155057343925,3.52101110308555,3.54127756209751,3.75285679583599,3.77312325484795,0,,,,,,,,,3.66897156569833
"canonical","B2_sweep_serial",2,800,5,"GATT","g=4_t=5",4,5,1,"wang",3.67696168272353,0.0705743105369231,3.53863857474634,3.56087724573963,3.79304611970743,3.81528479070072,0,,,,,,,,,3.66897156569833
"canonical","B2_sweep_serial",2,800,5,"GATT","g=4_t=6",4,6,2,"wang",3.71242597330105,0.0777804913424967,3.55997901036744,3.58448842099438,3.84036352560772,3.86487293623466,0,,,,,,,,,3.66897156569833
"canonical","B2_sweep_serial",2,800,5,"GATT","g=4_t=7",4,7,3,"wang",3.69661224007391,0.0787679224110079,3.54222994779354,3.56705050782447,3.82617397232335,3.85099453235428,0,,,,,,,,,3.66897156569833
"canonical","B2_sweep_serial",2,800,5,"CATT","surface",,,,"wang",,,,,,,,0.250160959439474,0.195466846721391,1532,0.0546499469509672,0.884464751958224,0.870880381162321,0.828981723237598,0.730866015129037,
"canonical","B2_sweep_serial",2,800,6,"GATT","g=4_t=4",4,4,0,"wang",3.82184751043253,0.0599795475282452,3.70428975654088,3.7231899117625,3.92050510910255,3.93940526432418,0,,,,,,,,,3.82449674041164
"canonical","B2_sweep_serial",2,800,6,"GATT","g=4_t=5",4,5,1,"wang",3.81818851922804,0.0706829371493026,3.67965250700114,3.70192540732626,3.93445163112982,3.95672453145493,0,,,,,,,,,3.82449674041164
"canonical","B2_sweep_serial",2,800,6,"GATT","g=4_t=6",4,6,2,"wang",3.70164573326825,0.0770038816117912,3.55072089744888,3.57498559058357,3.82830587595293,3.85257056908762,0,,,,,,,,,3.82449674041164
