family,design,degree,N,task_estimator,method,estimand_type,estimand_id,point_summary,n_reps,mean_true,bias,abs_bias,rmse,mae,empirical_sd_error,emp_sd,raw_sd_est,raw_variance_est,bias_mcse,mcse_bias,avg_post_sd,sd_ratio_error,sd_ratio,cover90,mcse_cover90,len90,cover95,mcse_cover95,len95
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE,k=-2,mean,200,0.0,-0.08218101234421421,0.08218101234421421,0.15668181476847753,0.11298876693316066,0.13373442628242385,0.13373442628242385,0.13373442628242385,0.01788489677308906,0.009456451970239435,0.009456451970239435,0.16274618408489563,1.2169355984763712,1.2169355984763712,0.98,0.009899494936611668,0.5265272933358025,1.0,0.0,0.6481165072392162
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE,k=-2,median,200,0.0,-0.06834000194268228,0.06834000194268228,0.14718055324228946,0.0779860005407102,0.1306795512417467,0.1306795512417467,0.1306795512417467,0.017077145112744305,0.0092404396845454,0.0092404396845454,0.16274618408489563,1.2453837079974985,1.2453837079974985,0.98,0.009899494936611668,0.5265272933358025,1.0,0.0,0.6481165072392162
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE,k=-3,mean,200,0.0,-0.13045177997191273,0.13045177997191273,0.19009429688740684,0.15007862392892724,0.13861546104776573,0.13861546104776573,0.13861546104776573,0.01921424604148466,0.009801593248417489,0.009801593248417489,0.1814456807956894,1.3089858766416016,1.3089858766416016,0.95,0.015411035007422448,0.5903670112114114,0.98,0.009899494936611668,0.7094178038470139
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE,k=-3,median,200,0.0,-0.1215129922285994,0.1215129922285994,0.1846996092362704,0.13273942811786107,0.1394480806885557,0.1394480806885557,0.1394480806885557,0.019445767207721936,0.009860468347832656,0.009860468347832656,0.1814456807956894,1.3011701552273884,1.3011701552273884,0.95,0.015411035007422448,0.5903670112114114,0.98,0.009899494936611668,0.7094178038470139
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE,k=-4,mean,200,0.0,-0.17176562668202902,0.17176562668202902,0.2276019542924423,0.18965494394053098,0.1497039594185699,0.1497039594185699,0.1497039594185699,0.022411275465596823,0.01058566848753465,0.01058566848753465,0.19722897215839905,1.3174599584701028,1.3174599584701028,0.89,0.022124646889837583,0.6435832840259565,0.925,0.01862458053218917,0.7704483288592318
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE,k=-4,median,200,0.0,-0.16745178743340766,0.16745178743340766,0.22426146069865655,0.18174502509743207,0.1495490764645806,0.1495490764645806,0.1495490764645806,0.022364926271408975,0.010574716608829046,0.010574716608829046,0.19722897215839905,1.3188244074854654,1.3188244074854654,0.89,0.022124646889837583,0.6435832840259565,0.925,0.01862458053218917,0.7704483288592318
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE,slope,mean,200,0.0,0.061312960881009036,0.061312960881009036,0.08253274504206957,0.06740538768425612,0.05538694249711759,0.05538694249711759,0.05538694249711759,0.0030677133991790107,0.0039164482628901215,0.0039164482628901215,0.07036399279346787,1.2704076018843198,1.2704076018843198,0.885,0.022558257911461158,0.22900341176643196,0.94,0.01679285562374667,0.27485337379130625
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE,slope,median,200,0.0,0.059179734515452685,0.059179734515452685,0.08079530096793582,0.06388307647905123,0.05514384735111691,0.05514384735111691,0.05514384735111691,0.0030408439006832833,0.00389925884026906,0.00389925884026906,0.07036399279346787,1.2760080439335304,1.2760080439335304,0.885,0.022558257911461158,0.22900341176643196,0.94,0.01679285562374667,0.27485337379130625
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE_SUB,X1=0_k=-2,mean,200,0.0,-0.07474431349499973,0.07474431349499973,0.15291486458021664,0.10987605909027724,0.13373732376786274,0.13373732376786274,0.13373732376786274,0.017885671768590142,0.009456656853399657,0.009456656853399657,0.16706890881844744,1.249231733606698,1.249231733606698,0.985,0.008595056718835545,0.5410740508719131,1.0,0.0,0.6702033083856526
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE_SUB,X1=0_k=-2,median,200,0.0,-0.06421413383875797,0.06421413383875797,0.14327518868150896,0.07436478253342811,0.12840077297102953,0.12840077297102953,0.12840077297102953,0.016486758499557868,0.009079305727740935,0.009079305727740935,0.16706890881844744,1.3011518930352735,1.3011518930352735,0.985,0.008595056718835545,0.5410740508719131,1.0,0.0,0.6702033083856526
