family,design,degree,N,rep,task_estimator,shard,n_shards,wave_id,n_waves,oracle_available,config_hash,base_seed,dgp_params,seed
correction_completion,PT_conditional,1,200,0,raw_structured,0,384,0,1,True,24d6dd33116d62ca,20260829,"{'alpha_sd': 1.0, 'conf_strength': 0.0, 'selection': 'observable', 'trend_heterogeneity': 0.6}",4179655998
correction_completion,PT_conditional,1,200,0,reference_fold_convolution_rf,0,384,0,1,True,24d6dd33116d62ca,20260829,"{'alpha_sd': 1.0, 'conf_strength': 0.0, 'selection': 'observable', 'trend_heterogeneity': 0.6}",4179655998
correction_completion,PT_conditional,3,200,184,raw_structured,0,384,0,1,True,24d6dd33116d62ca,20260829,"{'alpha_sd': 1.0, 'conf_strength': 0.0, 'selection': 'observable', 'trend_heterogeneity': 0.6}",3284994570
correction_completion,PT_conditional,3,200,184,reference_fold_convolution_rf,0,384,0,1,True,24d6dd33116d62ca,20260829,"{'alpha_sd': 1.0, 'conf_strength': 0.0, 'selection': 'observable', 'trend_heterogeneity': 0.6}",3284994570
correction_completion,PT_hold,3,200,168,raw_structured,0,384,0,1,True,24d6dd33116d62ca,20260829,"{'alpha_sd': 1.0, 'conf_strength': 1.0}",2201373328
correction_completion,PT_hold,3,200,168,reference_fold_convolution_rf,0,384,0,1,True,24d6dd33116d62ca,20260829,"{'alpha_sd': 1.0, 'conf_strength': 1.0}",2201373328
correction_completion,PT_violation_a20,3,200,152,raw_structured,0,384,0,1,True,24d6dd33116d62ca,20260829,"{'alpha_sd': 1.0, 'conf_strength': 1.0, 'alpha_trend': 0.2}",2076696531
correction_completion,PT_violation_a20,3,200,152,reference_fold_convolution_rf,0,384,0,1,True,24d6dd33116d62ca,20260829,"{'alpha_sd': 1.0, 'conf_strength': 1.0, 'alpha_trend': 0.2}",2076696531
correction_completion,PT_violation_g05,3,200,136,raw_structured,0,384,0,1,True,24d6dd33116d62ca,20260829,"{'alpha_sd': 1.0, 'conf_strength': 1.0, 'group_trend': 0.05}",233731890
correction_completion,PT_violation_g05,3,200,136,reference_fold_convolution_rf,0,384,0,1,True,24d6dd33116d62ca,20260829,"{'alpha_sd': 1.0, 'conf_strength': 1.0, 'group_trend': 0.05}",233731890
correction_completion,PT_violation_g10,3,200,120,raw_structured,0,384,0,1,True,24d6dd33116d62ca,20260829,"{'alpha_sd': 1.0, 'conf_strength': 1.0, 'group_trend': 0.1}",3612692205
correction_completion,PT_violation_g10,3,200,120,reference_fold_convolution_rf,0,384,0,1,True,24d6dd33116d62ca,20260829,"{'alpha_sd': 1.0, 'conf_strength': 1.0, 'group_trend': 0.1}",3612692205
correction_completion,PT_violation_g20,3,200,104,raw_structured,0,384,0,1,True,24d6dd33116d62ca,20260829,"{'alpha_sd': 1.0, 'conf_strength': 1.0, 'group_trend': 0.2}",3639519880
correction_completion,PT_violation_g20,3,200,104,reference_fold_convolution_rf,0,384,0,1,True,24d6dd33116d62ca,20260829,"{'alpha_sd': 1.0, 'conf_strength': 1.0, 'group_trend': 0.2}",3639519880
correction_completion,PT_violation_g40,3,200,88,raw_structured,0,384,0,1,True,24d6dd33116d62ca,20260829,"{'alpha_sd': 1.0, 'conf_strength': 1.0, 'group_trend': 0.4}",2373112043
correction_completion,PT_violation_g40,3,200,88,reference_fold_convolution_rf,0,384,0,1,True,24d6dd33116d62ca,20260829,"{'alpha_sd': 1.0, 'conf_strength': 1.0, 'group_trend': 0.4}",2373112043
correction_completion,PT_violation_het10,3,200,72,raw_structured,0,384,0,1,True,24d6dd33116d62ca,20260829,"{'alpha_sd': 1.0, 'conf_strength': 1.0, 'het_trend': 0.1}",2290841070
correction_completion,PT_violation_het10,3,200,72,reference_fold_convolution_rf,0,384,0,1,True,24d6dd33116d62ca,20260829,"{'alpha_sd': 1.0, 'conf_strength': 1.0, 'het_trend': 0.1}",2290841070
