spec,seed,att,post_sd
structured,0,-0.04653601520376013,0.029020741440301978
structured,1,-0.04634459280634632,0.02760144565892752
structured,2,-0.04585547818916647,0.027654567593911127
structured_rfx_unit,0,-0.04794130505414885,0.01389310718040754
structured_rfx_unit,1,-0.04791245942188491,0.014001809735688108
structured_rfx_unit,2,-0.048041492185550455,0.013841228914505432
