N,rep,true_ATE,tauhat_post,tauhat_pre_treated,share_recovered
200,0,3.0,3.0751485578267825,3.1528386910319712,1.0250495192755942
200,1,3.0,3.1930887635102705,3.0842183637981355,1.0643629211700902
200,2,3.0,2.9863960170388624,3.1411051212076146,0.9954653390129541
800,0,3.0,3.0232160110078814,3.1493403280837127,1.0077386703359605
800,1,3.0,3.03325300093975,3.1348654719829767,1.0110843336465833
1600,0,3.0,2.9882169816794613,2.92136603394015,0.9960723272264871
1600,1,3.0,3.060389630967904,2.9230675279976737,1.0201298769893012
