k,coef,true,twfe_bias
-6,-3.2551996922163258,,
-5,-2.6435843210496768,,
-4,-1.6009106592677897,,
-3,-1.1413837195733934,,
-2,-0.5401057519826019,,
-1,0.0,,
0,5.393318827314996,5.38391422524365,0.009404602071345636
1,8.52400420551216,9.691045605438571,-1.1670413999264113
2,9.003481996474783,10.543091003037416,-1.5396090065626336
3,7.323675207918875,9.362525177933561,-2.0388499700146863
