type,weight,dd,contribution
Earlier_vs_Later,0.07236999917046477,4.026301145266069,0.29138341054294675
Later_vs_Earlier,0.03867793701487992,5.872508078303385,0.22713649757199184
Treated_vs_Untreated,0.22228539714798864,9.154310905427845,2.034869635229192
