estimand_type,estimand_id,g,t,k,method,post_mean,post_median,sd,q025,q05,q95,q975,p_bayes_tail_min,p_bayes_two_sided,p_bayes,true,family,design,degree,N,rep,seed,task_estimator
PRE,k=-4,,,-4.0,pretrend,-0.00023451158730332066,0.0010099326899725466,0.0060920682722649675,-0.012669662503316494,-0.011165945988074513,0.006094992803786109,0.00898520212004704,0.4166666666666667,0.8333333333333334,0.8333333333333334,-0.0,correction_completion,PT_hold,1,200,0,472243030,raw_structured
PRE,k=-3,,,-3.0,pretrend,-0.001592146231274319,-0.0007854689676175109,0.0075646394209358415,-0.015294975157256719,-0.014508946080298847,0.008422809374558547,0.012040037579444792,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.0,correction_completion,PT_hold,1,200,0,472243030,raw_structured
PRE,k=-2,,,-2.0,pretrend,-0.0017773957665823791,-0.0038686007916271226,0.006586197732739569,-0.010269188038380415,-0.009087801915229402,0.007381907136975208,0.011267708076263002,0.3333333333333333,0.6666666666666666,0.6666666666666666,-0.0,correction_completion,PT_hold,1,200,0,472243030,raw_structured
PRE,slope,,,,pretrend,0.00040465878507435553,0.0005052128173974869,0.0024564851675380915,-0.004351471605774037,-0.0039416238792190535,0.004180706070837167,0.004308649179197208,0.4166666666666667,0.8333333333333334,0.8333333333333334,0.0,correction_completion,PT_hold,1,200,0,472243030,raw_structured
PRE_SUB,X1=0_k=-4,,,-4.0,pretrend,-0.0016925729300510766,-0.0008161971926242962,0.008607410415591744,-0.016744198675456394,-0.013690243696609664,0.013210980798209399,0.01443784685016661,0.4166666666666667,0.8333333333333334,0.8333333333333334,-0.0,correction_completion,PT_hold,1,200,0,472243030,raw_structured
PRE_SUB,X1=0_k=-3,,,-3.0,pretrend,-0.003002575816715611,-0.002210569578796017,0.012512185236995732,-0.025798388390456044,-0.019459122272381495,0.01148279402524007,0.017409955234522642,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.0,correction_completion,PT_hold,1,200,0,472243030,raw_structured
PRE_SUB,X1=0_k=-2,,,-2.0,pretrend,-0.002378889084698542,-0.0028480277428471873,0.011151926467792523,-0.02476076721558052,-0.02060094204387811,0.012347143174266245,0.013232120961850826,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.0,correction_completion,PT_hold,1,200,0,472243030,raw_structured
PRE_SUB,X1=1_k=-4,,,-4.0,pretrend,0.0011377814411651557,0.0004866204186334071,0.008388778798605397,-0.014545548240985291,-0.010394627296086284,0.014745965305742665,0.015601718714891995,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.0,correction_completion,PT_hold,1,200,0,472243030,raw_structured
PRE_SUB,X1=1_k=-3,,,-3.0,pretrend,-0.000264683092035453,-0.0004856026893270176,0.009174312184995047,-0.018692464794718734,-0.012426004959957665,0.011931679835801918,0.01208782411058816,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.0,correction_completion,PT_hold,1,200,0,472243030,raw_structured
PRE_SUB,X1=1_k=-2,,,-2.0,pretrend,-0.0012112844083554033,-0.0008799604893274277,0.009168196933054928,-0.016845236410019004,-0.016117997942179735,0.011356405570375356,0.01652182826265755,0.375,0.75,0.75,-0.0,correction_completion,PT_hold,1,200,0,472243030,raw_structured
PRE_SUB,X2=low_k=-4,,,-4.0,pretrend,-0.00013663065581255695,0.00011916967174843999,0.009701692144366694,-0.016879179106773983,-0.013685042550680997,0.016412010108858205,0.018752611258611517,0.5,1.0,1.0,-0.0,correction_completion,PT_hold,1,200,0,472243030,raw_structured
PRE_SUB,X2=low_k=-3,,,-3.0,pretrend,0.00034469160867969963,0.0020854467580500354,0.010519206325083364,-0.022501705418947325,-0.01717938286136737,0.015364210926287519,0.018579265032054253,0.4166666666666667,0.8333333333333334,0.8333333333333334,-0.0,correction_completion,PT_hold,1,200,0,472243030,raw_structured
PRE_SUB,X2=low_k=-2,,,-2.0,pretrend,-0.0019074468418227794,-0.0008545723062174074,0.014895868483274954,-0.028815350030879365,-0.024136029748071563,0.019502396631245145,0.02137992447327623,0.5,1.0,1.0,-0.0,correction_completion,PT_hold,1,200,0,472243030,raw_structured
PRE_SUB,X2=high_k=-4,,,-4.0,pretrend,-0.0027901684257130434,-0.0018027864520045408,0.013832558353313778,-0.02900159482092759,-0.02745852168695872,0.017542750269282897,0.018018075394113358,0.4166666666666667,0.8333333333333334,0.8333333333333334,-0.0,correction_completion,PT_hold,1,200,0,472243030,raw_structured
PRE_SUB,X2=high_k=-3,,,-3.0,pretrend,-0.003008094770014663,-0.0031165688211018715,0.015240476490653711,-0.025485607397653345,-0.024166739324067564,0.020645767884733334,0.025441340918271833,0.3333333333333333,0.6666666666666666,0.6666666666666666,-0.0,correction_completion,PT_hold,1,200,0,472243030,raw_structured
PRE_SUB,X2=high_k=-2,,,-2.0,pretrend,-0.001507056448420374,-0.00316772005120481,0.010770215833438155,-0.016422294629814958,-0.015349448974403348,0.015987765431464802,0.020882942125477783,0.375,0.75,0.75,-0.0,correction_completion,PT_hold,1,200,0,472243030,raw_structured
PRE_SUBC,X1_k=-4,,,-4.0,pretrend,0.0028303543712162316,0.004990903265904121,0.011847732055468293,-0.021629772940327367,-0.018844898092887603,0.016476035999115467,0.020611874057361628,0.3333333333333333,0.6666666666666666,0.6666666666666666,-0.0,correction_completion,PT_hold,1,200,0,472243030,raw_structured
PRE_SUBC,X1_k=-3,,,-3.0,pretrend,0.0027378927246801583,0.0036934696599919136,0.01576044107085108,-0.025497916085224805,-0.019789033584029555,0.025537816242825796,0.03074010194642119,0.375,0.75,0.75,-0.0,correction_completion,PT_hold,1,200,0,472243030,raw_structured
PRE_SUBC,X1_k=-2,,,-2.0,pretrend,0.001167604676343138,0.0036082214688038256,0.01552768468935522,-0.02311121403795591,-0.01916249149595437,0.029094693269840228,0.03231396445429789,0.4166666666666667,0.8333333333333334,0.8333333333333334,-0.0,correction_completion,PT_hold,1,200,0,472243030,raw_structured
PRE_SUBC,X1_slope,,,,pretrend,-0.0010810323742394394,-0.0012141725948558782,0.004737548845320913,-0.008847545267822748,-0.007688328523197725,0.006861396378373062,0.008024538654373385,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,correction_completion,PT_hold,1,200,0,472243030,raw_structured
PRE_SUBC,X2_k=-4,,,-4.0,pretrend,-0.0026535377699004863,-0.004191794929510573,0.017346144822080925,-0.032788886957504315,-0.03138055151146195,0.02509465332733584,0.027050368006170625,0.4166666666666667,0.8333333333333334,0.8333333333333334,-0.0,correction_completion,PT_hold,1,200,0,472243030,raw_structured
PRE_SUBC,X2_k=-3,,,-3.0,pretrend,-0.0033527863786943627,-0.003604987611928817,0.017640521368263926,-0.032462240247857065,-0.029913005901033463,0.017307968277436123,0.026738544945209712,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.0,correction_completion,PT_hold,1,200,0,472243030,raw_structured
PRE_SUBC,X2_k=-2,,,-2.0,pretrend,0.00040039039340240514,-0.004304876986626009,0.021222638993132825,-0.035709554877098114,-0.03407095083863876,0.03794495746478512,0.04155057971053943,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.0,correction_completion,PT_hold,1,200,0,472243030,raw_structured
PRE_SUBC,X2_slope,,,,pretrend,0.0010189854052634125,0.001041090270579382,0.006758791520153565,-0.010740688633868577,-0.010259260652536007,0.010320247446075256,0.011616200860887512,0.4166666666666667,0.8333333333333334,0.8333333333333334,0.0,correction_completion,PT_hold,1,200,0,472243030,raw_structured
