estimand_type,estimand_id,g,t,k,method,post_mean,post_median,sd,q025,q05,q95,q975,p_bayes_tail_min,p_bayes_two_sided,p_bayes,max_control_odds,effective_sample_size,max_normalized_weight,fold_sizes,true,family,design,degree,N,rep,seed,task_estimator
GATT,g=4_t=4,4.0,4.0,0.0,reference_fold_convolution,3.8455054575749714,3.813233071638506,0.3818959011197906,3.2816082985842487,3.4767015949601667,4.4941982359350785,4.580868210535096,0.0,0.0,0.0,1.05469216975493,11.999837459541546,,"{""0"": {""bar_pi"": 0.48, ""control_ess"": 12.999731241941635, ""fold_sizes"": [{""evaluation"": 25, ""fold"": 0, ""train"": 25}], ""global_fold_bb"": true, ""max_control_odds"": 1.05469216975493, ""n_clipped"": 0, ""n_complement_units"": 25, ""n_eval_units"": 25, ""posterior_cache_key"": ""g=4_fold=0"", ""posterior_draws"": 24, ""raw_max_control_odds"": 1.05469216975493}, ""1"": {""bar_pi"": 0.52, ""control_ess"": 11.999837459541546, ""fold_sizes"": [{""evaluation"": 25, ""fold"": 0, ""train"": 25}], ""global_fold_bb"": true, ""max_control_odds"": 0.938042279137719, ""n_clipped"": 0, ""n_complement_units"": 25, ""n_eval_units"": 25, ""posterior_cache_key"": ""g=4_fold=1"", ""posterior_draws"": 24, ""raw_max_control_odds"": 0.938042279137719}}",3.7483999906523677,correction_completion,baseline_sweep_d3,3,50,0,3395073998,reference_fold_convolution_rf
GATT,g=4_t=5,4.0,5.0,1.0,reference_fold_convolution,2.987644934518871,3.0008218622543223,0.39779504458419773,2.111725010642614,2.294909189878579,3.4689885919083614,3.5448861256374427,0.0,0.0,0.0,1.05469216975493,11.999837459541546,,"{""0"": {""bar_pi"": 0.48, ""control_ess"": 12.999731241941635, ""fold_sizes"": [{""evaluation"": 25, ""fold"": 0, ""train"": 25}], ""global_fold_bb"": true, ""max_control_odds"": 1.05469216975493, ""n_clipped"": 0, ""n_complement_units"": 25, ""n_eval_units"": 25, ""posterior_cache_key"": ""g=4_fold=0"", ""posterior_draws"": 24, ""raw_max_control_odds"": 1.05469216975493}, ""1"": {""bar_pi"": 0.52, ""control_ess"": 11.999837459541546, ""fold_sizes"": [{""evaluation"": 25, ""fold"": 0, ""train"": 25}], ""global_fold_bb"": true, ""max_control_odds"": 0.938042279137719, ""n_clipped"": 0, ""n_complement_units"": 25, ""n_eval_units"": 25, ""posterior_cache_key"": ""g=4_fold=1"", ""posterior_draws"": 24, ""raw_max_control_odds"": 0.938042279137719}}",3.7483999906523677,correction_completion,baseline_sweep_d3,3,50,0,3395073998,reference_fold_convolution_rf
GATT,g=4_t=6,4.0,6.0,2.0,reference_fold_convolution,3.768953774872441,3.749089996303222,0.5198450995392954,2.8982159986393725,2.9585574829394736,4.632690169013324,4.688511564115731,0.0,0.0,0.0,1.05469216975493,11.999837459541546,,"{""0"": {""bar_pi"": 0.48, ""control_ess"": 12.999731241941635, ""fold_sizes"": [{""evaluation"": 25, ""fold"": 0, ""train"": 25}], ""global_fold_bb"": true, ""max_control_odds"": 1.05469216975493, ""n_clipped"": 0, ""n_complement_units"": 25, ""n_eval_units"": 25, ""posterior_cache_key"": ""g=4_fold=0"", ""posterior_draws"": 24, ""raw_max_control_odds"": 1.05469216975493}, ""1"": {""bar_pi"": 0.52, ""control_ess"": 11.999837459541546, ""fold_sizes"": [{""evaluation"": 25, ""fold"": 0, ""train"": 25}], ""global_fold_bb"": true, ""max_control_odds"": 0.938042279137719, ""n_clipped"": 0, ""n_complement_units"": 25, ""n_eval_units"": 25, ""posterior_cache_key"": ""g=4_fold=1"", ""posterior_draws"": 24, ""raw_max_control_odds"": 0.938042279137719}}",3.7483999906523677,correction_completion,baseline_sweep_d3,3,50,0,3395073998,reference_fold_convolution_rf
GATT,g=4_t=7,4.0,7.0,3.0,reference_fold_convolution,3.4533858322412647,3.444496246457775,0.4096613038181799,2.695898359661786,2.8431435121583544,4.076244102500405,4.130607749409985,0.0,0.0,0.0,1.05469216975493,11.999837459541546,,"{""0"": {""bar_pi"": 0.48, ""control_ess"": 12.999731241941635, ""fold_sizes"": [{""evaluation"": 25, ""fold"": 0, ""train"": 25}], ""global_fold_bb"": true, ""max_control_odds"": 1.05469216975493, ""n_clipped"": 0, ""n_complement_units"": 25, ""n_eval_units"": 25, ""posterior_cache_key"": ""g=4_fold=0"", ""posterior_draws"": 24, ""raw_max_control_odds"": 1.05469216975493}, ""1"": {""bar_pi"": 0.52, ""control_ess"": 11.999837459541546, ""fold_sizes"": [{""evaluation"": 25, ""fold"": 0, ""train"": 25}], ""global_fold_bb"": true, ""max_control_odds"": 0.938042279137719, ""n_clipped"": 0, ""n_complement_units"": 25, ""n_eval_units"": 25, ""posterior_cache_key"": ""g=4_fold=1"", ""posterior_draws"": 24, ""raw_max_control_odds"": 0.938042279137719}}",3.7483999906523677,correction_completion,baseline_sweep_d3,3,50,0,3395073998,reference_fold_convolution_rf
ES,k=0,,,0.0,reference_fold_convolution,3.8455054575749714,3.813233071638506,0.3818959011197906,3.2816082985842487,3.4767015949601667,4.4941982359350785,4.580868210535096,0.0,0.0,0.0,,,,{},3.7483999906523677,correction_completion,baseline_sweep_d3,3,50,0,3395073998,reference_fold_convolution_rf
ES,k=1,,,1.0,reference_fold_convolution,2.987644934518871,3.0008218622543223,0.39779504458419773,2.111725010642614,2.294909189878579,3.4689885919083614,3.5448861256374427,0.0,0.0,0.0,,,,{},3.7483999906523677,correction_completion,baseline_sweep_d3,3,50,0,3395073998,reference_fold_convolution_rf
ES,k=2,,,2.0,reference_fold_convolution,3.768953774872441,3.749089996303222,0.5198450995392954,2.8982159986393725,2.9585574829394736,4.632690169013324,4.688511564115731,0.0,0.0,0.0,,,,{},3.7483999906523677,correction_completion,baseline_sweep_d3,3,50,0,3395073998,reference_fold_convolution_rf
ES,k=3,,,3.0,reference_fold_convolution,3.4533858322412647,3.444496246457775,0.4096613038181799,2.695898359661786,2.8431435121583544,4.076244102500405,4.130607749409985,0.0,0.0,0.0,,,,{},3.7483999906523677,correction_completion,baseline_sweep_d3,3,50,0,3395073998,reference_fold_convolution_rf
ATT,ATT,,,,reference_fold_convolution,3.5138724998018867,3.493630537189254,0.38137408807552525,2.729925760394317,2.8156710920800907,4.045152560702832,4.140577812343935,0.0,0.0,0.0,,,,{},3.7483999906523673,correction_completion,baseline_sweep_d3,3,50,0,3395073998,reference_fold_convolution_rf
