estimand_type,estimand_id,g,t,k,method,post_mean,post_median,sd,q025,q05,q95,q975,p_bayes_tail_min,p_bayes_two_sided,p_bayes,true,family,design,degree,N,rep,seed,task_estimator
GATT,g=4_t=4,4.0,4.0,0.0,raw_structured,3.7554043850530845,3.753975096335048,0.007531663542359409,3.743274021696028,3.7442407157109825,3.7691485659663226,3.7701630250669553,0.0,0.0,0.0,3.7553317606128513,correction_completion,serial_sweep,1,100,0,3888175857,raw_structured
GATT,g=4_t=5,4.0,5.0,1.0,raw_structured,3.7535846019716357,3.753616534136061,0.005295221745346932,3.7439125011435412,3.7458566167713645,3.7597749610092426,3.7633756102184064,0.0,0.0,0.0,3.7553317606128513,correction_completion,serial_sweep,1,100,0,3888175857,raw_structured
GATT,g=4_t=6,4.0,6.0,2.0,raw_structured,3.7531158906954087,3.7524119840960144,0.006219666184288484,3.7452560614733588,3.7454941272877464,3.7624481493437236,3.7627033170488486,0.0,0.0,0.0,3.7553317606128513,correction_completion,serial_sweep,1,100,0,3888175857,raw_structured
GATT,g=4_t=7,4.0,7.0,3.0,raw_structured,3.753835908557915,3.7546557181948677,0.008546464356744794,3.7398550863444617,3.7416221139703727,3.765102634171772,3.7692486510958436,0.0,0.0,0.0,3.7553317606128513,correction_completion,serial_sweep,1,100,0,3888175857,raw_structured
ES,k=0,,,0.0,raw_structured,3.7554043850530845,3.753975096335048,0.007531663542359409,3.743274021696028,3.7442407157109825,3.7691485659663226,3.7701630250669553,0.0,0.0,0.0,3.7553317606128513,correction_completion,serial_sweep,1,100,0,3888175857,raw_structured
ES,k=1,,,1.0,raw_structured,3.7535846019716357,3.753616534136061,0.005295221745346932,3.7439125011435412,3.7458566167713645,3.7597749610092426,3.7633756102184064,0.0,0.0,0.0,3.7553317606128513,correction_completion,serial_sweep,1,100,0,3888175857,raw_structured
ES,k=2,,,2.0,raw_structured,3.7531158906954087,3.7524119840960144,0.006219666184288484,3.7452560614733588,3.7454941272877464,3.7624481493437236,3.7627033170488486,0.0,0.0,0.0,3.7553317606128513,correction_completion,serial_sweep,1,100,0,3888175857,raw_structured
ES,k=3,,,3.0,raw_structured,3.753835908557915,3.7546557181948677,0.008546464356744794,3.7398550863444617,3.7416221139703727,3.765102634171772,3.7692486510958436,0.0,0.0,0.0,3.7553317606128513,correction_completion,serial_sweep,1,100,0,3888175857,raw_structured
ATT,ATT,,,,raw_structured,3.7539851965695115,3.7542686301028914,0.0034132281822475564,3.7472635814440043,3.749182954682781,3.7584114289308657,3.7597173132030237,0.0,0.0,0.0,3.755331760612851,correction_completion,serial_sweep,1,100,0,3888175857,raw_structured
