estimand_type,estimand_id,g,t,k,method,post_mean,post_median,sd,q025,q05,q95,q975,p_bayes_tail_min,p_bayes_two_sided,p_bayes,true,family,design,degree,N,rep,seed,task_estimator
PRE,k=-4,,,-4.0,reference_fold_pretrend,0.00015593873067774704,0.0013501029091713785,0.007156289545776551,-0.014662206518723677,-0.009768306487673236,0.009971206963472666,0.011593135050916652,0.375,0.75,0.75,-0.01685393258426967,correction_completion,PT_violation_het10,1,200,0,1901787762,reference_fold_convolution_rf
PRE,k=-3,,,-3.0,reference_fold_pretrend,0.0011838791467211395,0.001904160714350533,0.006591782249880985,-0.010821421993373536,-0.01009174898076213,0.00865074917018655,0.010387002857713913,0.3333333333333333,0.6666666666666666,0.6666666666666666,-0.011235955056179778,correction_completion,PT_violation_het10,1,200,0,1901787762,reference_fold_convolution_rf
PRE,k=-2,,,-2.0,reference_fold_pretrend,0.0019295118818508762,0.002305624600576009,0.007102954345014138,-0.013873930327838955,-0.01265160961939784,0.011436711547514645,0.013057698059718195,0.3333333333333333,0.6666666666666666,0.6666666666666666,-0.005617977528089889,correction_completion,PT_violation_het10,1,200,0,1901787762,reference_fold_convolution_rf
PRE,slope,,,,reference_fold_pretrend,-0.0003403633119518854,-0.0005772057082903684,0.0023526785263686726,-0.004120926046202917,-0.003798484649203923,0.0032771673089829227,0.004468677246314246,0.2916666666666667,0.5833333333333334,0.5833333333333334,0.005617977528089889,correction_completion,PT_violation_het10,1,200,0,1901787762,reference_fold_convolution_rf
PRE_SUB,X1=0_k=-4,,,-4.0,reference_fold_pretrend,0.00047946229685295823,0.0012644665593689295,0.012691034770195214,-0.022949400361678692,-0.018712090357213326,0.018135488789419268,0.021482696838437218,0.4583333333333333,0.9166666666666666,0.9166666666666666,0.29999999999999993,correction_completion,PT_violation_het10,1,200,0,1901787762,reference_fold_convolution_rf
PRE_SUB,X1=0_k=-3,,,-3.0,reference_fold_pretrend,0.003458432092866228,0.0030485832769519975,0.010399612827923158,-0.013115851905618325,-0.012032911042303099,0.020725553428182632,0.025006528986464664,0.375,0.75,0.75,0.19999999999999996,correction_completion,PT_violation_het10,1,200,0,1901787762,reference_fold_convolution_rf
PRE_SUB,X1=0_k=-2,,,-2.0,reference_fold_pretrend,0.00501856257766422,0.007039088627932161,0.0123231607075941,-0.017340209590136692,-0.01277383824224736,0.023686437927373533,0.025420467598007215,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.09999999999999998,correction_completion,PT_violation_het10,1,200,0,1901787762,reference_fold_convolution_rf
PRE_SUB,X1=1_k=-4,,,-4.0,reference_fold_pretrend,-0.0001331674348405283,-0.00034825773609277027,0.007591099355890365,-0.014081790847847999,-0.01346332203988356,0.010533674064232118,0.011622249806010792,0.5,1.0,1.0,-0.2999999999999998,correction_completion,PT_violation_het10,1,200,0,1901787762,reference_fold_convolution_rf
PRE_SUB,X1=1_k=-3,,,-3.0,reference_fold_pretrend,-0.0008487000817489388,-0.00014232643053480506,0.010268744377598513,-0.01609518383323196,-0.015728838892572546,0.015036101770533826,0.015298639233443432,0.5,1.0,1.0,-0.1999999999999999,correction_completion,PT_violation_het10,1,200,0,1901787762,reference_fold_convolution_rf
PRE_SUB,X1=1_k=-2,,,-2.0,reference_fold_pretrend,-0.000830916399514239,0.0002977665240039454,0.010091359147424074,-0.018079512700735812,-0.017176178670613877,0.013909905646614516,0.0165140111404325,0.4583333333333333,0.9166666666666666,0.9166666666666666,-0.09999999999999995,correction_completion,PT_violation_het10,1,200,0,1901787762,reference_fold_convolution_rf
