estimand_type,estimand_id,g,t,k,method,post_mean,post_median,sd,q025,q05,q95,q975,p_bayes_tail_min,p_bayes_two_sided,p_bayes,true,family,design,degree,N,rep,seed,task_estimator
GATT,g=4_t=4,4.0,4.0,0.0,raw_structured,3.8687971305123043,3.868825537153886,0.0032358657220300326,3.8626638719248616,3.8631425047011394,3.8732983065885866,3.873789849735353,0.0,0.0,0.0,3.8685989177757754,correction_completion,serial,3,200,0,2908495044,raw_structured
GATT,g=4_t=5,4.0,5.0,1.0,raw_structured,3.8680090333686796,3.8681737731676784,0.0038102239526099963,3.861112290869886,3.8621949721021003,3.873768345956358,3.8744610217391076,0.0,0.0,0.0,3.8685989177757754,correction_completion,serial,3,200,0,2908495044,raw_structured
GATT,g=4_t=6,4.0,6.0,2.0,raw_structured,3.868094859345508,3.868073070417313,0.0037744060510463153,3.860218951642721,3.860985499714888,3.8740203293145625,3.8742438053476853,0.0,0.0,0.0,3.8685989177757754,correction_completion,serial,3,200,0,2908495044,raw_structured
GATT,g=4_t=7,4.0,7.0,3.0,raw_structured,3.8694347791143002,3.869146222516871,0.0041980327287062255,3.8618861947395775,3.863952361995911,3.876911030213361,3.877645938908482,0.0,0.0,0.0,3.8685989177757754,correction_completion,serial,3,200,0,2908495044,raw_structured
ES,k=0,,,0.0,raw_structured,3.8687971305123043,3.868825537153886,0.0032358657220300326,3.8626638719248616,3.8631425047011394,3.8732983065885866,3.873789849735353,0.0,0.0,0.0,3.8685989177757754,correction_completion,serial,3,200,0,2908495044,raw_structured
ES,k=1,,,1.0,raw_structured,3.8680090333686796,3.8681737731676784,0.0038102239526099963,3.861112290869886,3.8621949721021003,3.873768345956358,3.8744610217391076,0.0,0.0,0.0,3.8685989177757754,correction_completion,serial,3,200,0,2908495044,raw_structured
ES,k=2,,,2.0,raw_structured,3.868094859345508,3.868073070417313,0.0037744060510463153,3.860218951642721,3.860985499714888,3.8740203293145625,3.8742438053476853,0.0,0.0,0.0,3.8685989177757754,correction_completion,serial,3,200,0,2908495044,raw_structured
ES,k=3,,,3.0,raw_structured,3.8694347791143002,3.869146222516871,0.0041980327287062255,3.8618861947395775,3.863952361995911,3.876911030213361,3.877645938908482,0.0,0.0,0.0,3.8685989177757754,correction_completion,serial,3,200,0,2908495044,raw_structured
ATT,ATT,,,,raw_structured,3.868583950585199,3.8687050251513986,0.0013908091113854248,3.866327649751504,3.866487018283722,3.8704624418750395,3.87056030142405,0.0,0.0,0.0,3.8685989177757754,correction_completion,serial,3,200,0,2908495044,raw_structured
