k,coef,true,twfe_bias
-6,-1.373500934112322,,
-5,-1.0915395175301064,,
-4,-0.6642641141277746,,
-3,-0.4699338021061215,,
-2,-0.20221428050582838,,
-1,0.0,,
0,4.027960840445583,4.066558021205121,-0.03859718075953822
1,5.17466734218709,5.693181229687169,-0.5185138875000792
2,5.469455736963642,6.1226050481367125,-0.6531493111730704
3,5.292313947678678,6.058104526898186,-0.7657905792195079
