setting,never_treated_share,N,reps,twfe,att_true,twfe_bias,w_treated_vs_untreated,w_earlier_vs_later,w_already_treated
D_ramp_nt40,0.4,200,200,5.015477108526757,5.276193397701584,-0.2607162891748262,0.7811894552776042,0.14231031974153627,0.07650022498085962
D_ramp_nt30,0.3,200,200,4.898405694987764,5.28465171594592,-0.38624602095815647,0.7140933379927514,0.1861159313816823,0.0997907306255663
D_ramp_nt25,0.25,200,200,4.8241846233471675,5.292340250223015,-0.4681556268758477,0.6681648841034138,0.2161656593135918,0.11566945658299442
D_ramp_nt20,0.2,200,200,4.729787173125568,5.302292602741999,-0.5725054296164309,0.6105476090247112,0.25386156675898747,0.13559082421630134
D_ramp_nt10,0.1,200,200,4.432525214307744,5.321743843263681,-0.8892186289559366,0.43704902295903203,0.3674233427442675,0.1955276342967005
D_ramp_nt05,0.05,200,200,4.1496863703852656,5.33096622403097,-1.181279853645703,0.2790373129046532,0.470983604530768,0.24997908256457876
