spec,contrast,diff_log,post_sd,lo95_log,hi95_log,p_bayes
structured,Medium population - Small population,-0.008097643519774388,0.0343899128141018,-0.08164270214020307,0.0668092162753925,0.6506666666666666
structured,High population - Small population,0.019848683176257327,0.04953791365195903,-0.07024839459099488,0.1301966589363575,0.716
structured,High population - Medium population,0.027946326696031715,0.03884844130255248,-0.035164522204515034,0.1175205037076305,0.49066666666666664
structured_rfx_unit,Medium population - Small population,-0.012946986839270688,0.01915496451729522,-0.04990614221821546,0.02906936407929091,0.4533333333333333
structured_rfx_unit,High population - Small population,0.00719050511921442,0.02629051117790558,-0.03750664572626262,0.06361483592884026,0.8626666666666667
structured_rfx_unit,High population - Medium population,0.02013749195848511,0.020902139910827334,-0.01013743334978595,0.06826180479735755,0.332
