dgp,setting,linearity_degree,N,rep,spec,estimand_type,estimand_id,g,t,k,method,post_mean,sd,q025,q05,q95,q975,p_bayes,true
canonical,PT_violation_het40,3,200,0,pretrend_unit,PRE,k=-4,,,-4.0,pretrend,-0.24541150394001382,0.2087050787933859,-0.656329134498696,-0.5927210028110846,0.09443423024583238,0.16844730285851295,0.12666666666666668,-0.24444444444444446
canonical,PT_violation_het40,3,200,0,pretrend_unit,PRE,k=-3,,,-3.0,pretrend,-0.15015661836960553,0.20172247101064292,-0.5615043321232622,-0.4783433306805318,0.16840117365994442,0.21995190699913444,0.22,-0.16296296296296298
canonical,PT_violation_het40,3,200,0,pretrend_unit,PRE,k=-2,,,-2.0,pretrend,0.015167293823853938,0.18353676953691278,-0.3693337063956857,-0.2974630549559605,0.3290052277763275,0.3644319422325611,0.382,-0.08148148148148149
canonical,PT_violation_het40,3,200,0,pretrend_unit,PRE,slope,,,,pretrend,0.0729557467668142,0.07295988441662511,-0.06488868284510926,-0.04748258279054608,0.19477493863448314,0.2190557734544489,0.15666666666666668,0.08148148148148149
canonical,PT_violation_het40,3,200,0,pretrend_unit,PRE,any,,,,pretrend,,,,,,,0.12666666666666668,0.08148148148148149
canonical,PT_violation_het40,3,200,0,pretrend_unit,PRE,any_bonf,,,,pretrend,,,,,,,0.38,0.08148148148148149
canonical,PT_violation_het40,3,200,0,pretrend_unit,PRE_SUB,X1=0_k=-4,,,-4.0,pretrend,0.8063525625874051,0.3086027880399274,0.2296266341210643,0.3065281680698554,1.3205976899421592,1.4101214776632374,0.002,1.1999999999999997
canonical,PT_violation_het40,3,200,0,pretrend_unit,PRE_SUB,X1=0_k=-3,,,-3.0,pretrend,0.17563248968688094,0.28885849373264516,-0.35260536112456814,-0.2833346928565204,0.6467386751098158,0.7387982292689208,0.266,0.7999999999999998
canonical,PT_violation_het40,3,200,0,pretrend_unit,PRE_SUB,X1=0_k=-2,,,-2.0,pretrend,0.27584523671711,0.30022692071943763,-0.22860381642824784,-0.13379324589646294,0.8116249690553268,0.876396651977329,0.11866666666666667,0.3999999999999999
canonical,PT_violation_het40,3,200,0,pretrend_unit,PRE_SUB,X1=1_k=-4,,,-4.0,pretrend,-0.9411938864119985,0.27207232222292865,-1.481123789780875,-1.4009775629474186,-0.4996148552444027,-0.42382937883653937,0.0,-1.2
canonical,PT_violation_het40,3,200,0,pretrend_unit,PRE_SUB,X1=1_k=-3,,,-3.0,pretrend,-0.36567864369928127,0.26242995559643073,-0.8926343792662111,-0.8157257728389025,0.0,0.06660990371299008,0.04933333333333333,-0.7999999999999999
canonical,PT_violation_het40,3,200,0,pretrend_unit,PRE_SUB,X1=1_k=-2,,,-2.0,pretrend,-0.15728119147476158,0.2301116886550274,-0.6774706206089363,-0.5914961329455907,0.14045040227552197,0.2312581492268858,0.13266666666666665,-0.39999999999999997
canonical,PT_violation_het40,3,200,0,pretrend_unit,PRE_SUB,X2=low_k=-4,,,-4.0,pretrend,-0.3819230060020541,0.22108492578677727,-0.8067925648098138,-0.7460067859184922,-0.004221489017720253,0.05403560857177177,0.04733333333333333,-0.4
canonical,PT_violation_het40,3,200,0,pretrend_unit,PRE_SUB,X2=low_k=-3,,,-3.0,pretrend,-0.20855625477036285,0.21322964628927443,-0.6361395271590599,-0.5734049166710206,0.12466268692940458,0.1674451694538271,0.16133333333333333,-0.26666666666666666
canonical,PT_violation_het40,3,200,0,pretrend_unit,PRE_SUB,X2=low_k=-2,,,-2.0,pretrend,-0.0347500556205528,0.18322639502046276,-0.4328148865775275,-0.3534362184083537,0.2658781353608278,0.325653273566729,0.3526666666666667,-0.13333333333333333
canonical,PT_violation_het40,3,200,0,pretrend_unit,PRE_SUB,X2=high_k=-4,,,-4.0,pretrend,-0.10573235234521472,0.22253061035473157,-0.5290574085478883,-0.46377514801474695,0.2768499343945297,0.32986747337624467,0.31266666666666665,-0.06666666666666665
canonical,PT_violation_het40,3,200,0,pretrend_unit,PRE_SUB,X2=high_k=-3,,,-3.0,pretrend,-0.09911076368706671,0.21527462574857026,-0.5183221772261631,-0.4535768922253796,0.2517852853532255,0.32977149656164734,0.31133333333333335,-0.04444444444444443
canonical,PT_violation_het40,3,200,0,pretrend_unit,PRE_SUB,X2=high_k=-2,,,-2.0,pretrend,0.05759351238352606,0.2082379392844848,-0.34308361289228234,-0.2663439929153773,0.4372407326815481,0.48910361265543423,0.3393333333333333,-0.022222222222222216
canonical,PT_violation_het40,3,200,0,pretrend_unit,PRE_SUBC,X1_k=-4,,,-4.0,pretrend,-1.7475464489994037,0.4029675756521612,-2.5237922248763662,-2.413306363595981,-1.0855941244985734,-1.018230473648307,0.0,-2.3999999999999995
canonical,PT_violation_het40,3,200,0,pretrend_unit,PRE_SUBC,X1_k=-3,,,-3.0,pretrend,-0.5413111333861622,0.3765603555761051,-1.2369390136238767,-1.1208561471547311,2.803313137178495e-16,6.938893903907228e-16,0.08266666666666667,-1.5999999999999996
canonical,PT_violation_het40,3,200,0,pretrend_unit,PRE_SUBC,X1_k=-2,,,-2.0,pretrend,-0.4331264281918715,0.3770712601238555,-1.1213309580186939,-1.0145784109864624,1.9480944635219496e-16,6.056787016373008e-16,0.07333333333333333,-0.7999999999999998
canonical,PT_violation_het40,3,200,0,pretrend_unit,PRE_SUBC,X1_slope,,,,pretrend,0.4827420029973148,0.15160507805862775,0.21927945136615043,0.23729110436831816,0.7248883659716159,0.7746726987629581,0.0,0.7999999999999998
canonical,PT_violation_het40,3,200,0,pretrend_unit,PRE_SUBC,X1_any,,,,pretrend,,,,,,,0.0,0.7999999999999998
canonical,PT_violation_het40,3,200,0,pretrend_unit,PRE_SUBC,X1_any_bonf,,,,pretrend,,,,,,,0.0,0.7999999999999998
canonical,PT_violation_het40,3,200,0,pretrend_unit,PRE_SUBC,X2_k=-4,,,-4.0,pretrend,0.27619065365683937,0.15407521428486146,0.05875690941070342,0.1016782275597874,0.62435119058756,0.6853369933257805,0.012,0.33333333333333337
canonical,PT_violation_het40,3,200,0,pretrend_unit,PRE_SUBC,X2_k=-3,,,-3.0,pretrend,0.10944549108329614,0.15110710715606987,-0.10224973028699201,-0.04017164050178996,0.4564567143524866,0.5258573326817378,0.14333333333333334,0.22222222222222224
canonical,PT_violation_het40,3,200,0,pretrend_unit,PRE_SUBC,X2_k=-2,,,-2.0,pretrend,0.09234356800407886,0.147039169652949,-0.11398960838124689,-0.05726797716057317,0.4450670249934855,0.4981760785190447,0.14466666666666667,0.11111111111111112
