dgp,setting,linearity_degree,N,rep,spec,estimand_type,estimand_id,g,t,k,method,post_mean,sd,q025,q05,q95,q975,p_bayes,true
canonical,PT_violation_a20,3,200,150,pretrend_unit,PRE,k=-4,,,-4.0,pretrend,-0.3993252332590594,0.2108760561400874,-0.7998027408843484,-0.7432173164779335,-0.040326168532569324,0.0019417560077248006,0.02666666666666667,-0.608675764902515
canonical,PT_violation_a20,3,200,150,pretrend_unit,PRE,k=-3,,,-3.0,pretrend,-0.04904939623715946,0.17102324776125008,-0.43449502019858893,-0.35886155275661114,0.23423379654670756,0.29777423454286334,0.284,-0.40578384326834327
canonical,PT_violation_a20,3,200,150,pretrend_unit,PRE,k=-2,,,-2.0,pretrend,-0.04992329279904601,0.14478974500166678,-0.4061546843819153,-0.33135298532965984,0.1584045965285981,0.21577715733121672,0.17866666666666667,-0.20289192163417163
canonical,PT_violation_a20,3,200,150,pretrend_unit,PRE,slope,,,,pretrend,0.09614269893218165,0.06620647587485005,-0.03208199898285298,-0.008251045754819743,0.20855892658816436,0.2302762412640602,0.06466666666666666,0.20289192163417163
canonical,PT_violation_a20,3,200,150,pretrend_unit,PRE,any,,,,pretrend,,,,,,,0.02666666666666667,0.20289192163417163
canonical,PT_violation_a20,3,200,150,pretrend_unit,PRE,any_bonf,,,,pretrend,,,,,,,0.08,0.20289192163417163
canonical,PT_violation_a20,3,200,150,pretrend_unit,PRE_SUB,X1=0_k=-4,,,-4.0,pretrend,-0.3914451306699331,0.2140552277823238,-0.7933945506099604,-0.7314449850990002,-0.015544112588674323,0.02850256082040521,0.032,-0.5680829292702513
canonical,PT_violation_a20,3,200,150,pretrend_unit,PRE_SUB,X1=0_k=-3,,,-3.0,pretrend,-0.041780266393108,0.1742962626996717,-0.42998116642827805,-0.353720353368596,0.24502270872833415,0.30790081988411694,0.29533333333333334,-0.3787219528468342
canonical,PT_violation_a20,3,200,150,pretrend_unit,PRE_SUB,X1=0_k=-2,,,-2.0,pretrend,-0.04295544438908535,0.14683744416856828,-0.4036964599876725,-0.3258713153233409,0.16548128015377764,0.23355014537650412,0.18533333333333332,-0.1893609764234171
canonical,PT_violation_a20,3,200,150,pretrend_unit,PRE_SUB,X1=1_k=-4,,,-4.0,pretrend,-0.40917536149546724,0.21938994740115242,-0.8522198911453678,-0.7586673180223489,-0.0428469440600691,0.0005377258035309299,0.025333333333333333,-0.6593423395501792
canonical,PT_violation_a20,3,200,150,pretrend_unit,PRE_SUB,X1=1_k=-3,,,-3.0,pretrend,-0.0581358085422238,0.1800958637996536,-0.45893408964096266,-0.3939239978739591,0.23029817344628323,0.28990556485033814,0.272,-0.43956155970011945
canonical,PT_violation_a20,3,200,150,pretrend_unit,PRE_SUB,X1=1_k=-2,,,-2.0,pretrend,-0.05863310331149683,0.15683529030287321,-0.4503426875630162,-0.38469110270064877,0.15440085677033355,0.20064556823288895,0.16866666666666666,-0.21978077985005973
canonical,PT_violation_a20,3,200,150,pretrend_unit,PRE_SUB,X2=low_k=-4,,,-4.0,pretrend,-0.39448534434898,0.21370893835263916,-0.8030234647007252,-0.7432173164779321,-0.024357555056455496,0.021181657181408284,0.03,-0.559288415760989
canonical,PT_violation_a20,3,200,150,pretrend_unit,PRE_SUB,X2=low_k=-3,,,-3.0,pretrend,-0.0471723221683354,0.1726124464846696,-0.43666741424526867,-0.3660529592591995,0.24098373367896653,0.297774234542863,0.28733333333333333,-0.3728589438406593
canonical,PT_violation_a20,3,200,150,pretrend_unit,PRE_SUB,X2=low_k=-2,,,-2.0,pretrend,-0.04860397345380063,0.14646044067120978,-0.4061546843819155,-0.3313529853296607,0.16121289691904514,0.2233925572777703,0.18,-0.18642947192032966
canonical,PT_violation_a20,3,200,150,pretrend_unit,PRE_SUB,X2=high_k=-4,,,-4.0,pretrend,-0.4095364384724588,0.21864567857172565,-0.8256464777018525,-0.7564170832739368,-0.03973633665250516,0.0019417560077246991,0.02666666666666667,-0.746042928555344
canonical,PT_violation_a20,3,200,150,pretrend_unit,PRE_SUB,X2=high_k=-3,,,-3.0,pretrend,-0.053921048808281136,0.1767840490187105,-0.4462691003304991,-0.3786248661540153,0.23423379654670753,0.297774234542863,0.2793333333333333,-0.4973619523702294
canonical,PT_violation_a20,3,200,150,pretrend_unit,PRE_SUB,X2=high_k=-2,,,-2.0,pretrend,-0.05327472934483524,0.14948492319454162,-0.42607965084517396,-0.34878187244277625,0.16239089890653907,0.2157771573312167,0.176,-0.2486809761851147
canonical,PT_violation_a20,3,200,150,pretrend_unit,PRE_SUBC,X1_k=-4,,,-4.0,pretrend,-0.017730230825534182,0.09814998567955277,-0.3803371925834874,-0.1602475901995955,0.017076161528713957,0.0579141779180945,0.4593333333333333,-0.0912594102799279
canonical,PT_violation_a20,3,200,150,pretrend_unit,PRE_SUBC,X1_k=-3,,,-3.0,pretrend,-0.0163555421491158,0.0909783204993818,-0.32487367225167646,-0.02776123320599752,1.3468393067483924e-15,0.02347501248121002,0.35133333333333333,-0.060839606853285266
canonical,PT_violation_a20,3,200,150,pretrend_unit,PRE_SUBC,X1_k=-2,,,-2.0,pretrend,-0.015677658922411474,0.08878878949972639,-0.3030736937907973,-0.009778639190368758,8.340550472496476e-16,0.002819414750410993,0.24533333333333332,-0.030419803426642633
canonical,PT_violation_a20,3,200,150,pretrend_unit,PRE_SUBC,X1_slope,,,,pretrend,0.007255673978374686,0.03922188804307909,-0.017295657121387285,-0.005353741432861017,0.04308836709465816,0.13923157382214715,0.4666666666666667,0.030419803426642633
