family,design,degree,N,task_estimator,method,estimand_type,estimand_id,point_summary,n_reps,mean_true,bias,abs_bias,rmse,mae,empirical_sd_error,emp_sd,raw_sd_est,raw_variance_est,bias_mcse,mcse_bias,avg_post_sd,sd_ratio_error,sd_ratio,cover90,mcse_cover90,len90,cover95,mcse_cover95,len95
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE_SUB,X1=1_k=-4,mean,1,0.0,0.0022158296604748,0.0022158296604748,0.0022158296604748,0.0022158296604748,,,,,,,0.0086328066727678,,,1.0,0.0,0.0265545104645318,1.0,0.0,0.028935215265869
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE_SUB,X1=1_k=-4,median,1,0.0,0.0033039854389023,0.0033039854389023,0.0033039854389023,0.0033039854389023,,,,,,,0.0086328066727678,,,1.0,0.0,0.0265545104645318,1.0,0.0,0.028935215265869
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE_SUB,X2=high_k=-2,mean,1,0.0,0.0035377037420996,0.0035377037420996,0.0035377037420996,0.0035377037420996,,,,,,,0.0115535118620492,,,1.0,0.0,0.034431957884685,1.0,0.0,0.0367872476243923
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE_SUB,X2=high_k=-2,median,1,0.0,0.0027783615777088,0.0027783615777088,0.0027783615777088,0.0027783615777088,,,,,,,0.0115535118620492,,,1.0,0.0,0.034431957884685,1.0,0.0,0.0367872476243923
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE_SUB,X2=high_k=-3,mean,1,0.0,0.0045862058394278,0.0045862058394278,0.0045862058394278,0.0045862058394278,,,,,,,0.0115850560215332,,,1.0,0.0,0.039006564384883896,1.0,0.0,0.040703093973937496
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE_SUB,X2=high_k=-3,median,1,0.0,0.0038536670561406,0.0038536670561406,0.0038536670561406,0.0038536670561406,,,,,,,0.0115850560215332,,,1.0,0.0,0.039006564384883896,1.0,0.0,0.040703093973937496
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE_SUB,X2=high_k=-4,mean,1,0.0,0.0013453218446665,0.0013453218446665,0.0013453218446665,0.0013453218446665,,,,,,,0.0101718992027625,,,1.0,0.0,0.0283625247460916,1.0,0.0,0.0331495038516934
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE_SUB,X2=high_k=-4,median,1,0.0,0.0025841391989262,0.0025841391989262,0.0025841391989262,0.0025841391989262,,,,,,,0.0101718992027625,,,1.0,0.0,0.0283625247460916,1.0,0.0,0.0331495038516934
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE_SUB,X2=low_k=-2,mean,1,0.0,-0.0010157325767741,0.0010157325767741,0.0010157325767741,0.0010157325767741,,,,,,,0.0118263763763751,,,1.0,0.0,0.0324469551901082,1.0,0.0,0.0373071737246584
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE_SUB,X2=low_k=-2,median,1,0.0,-0.0001935083323012,0.0001935083323012,0.0001935083323012,0.0001935083323012,,,,,,,0.0118263763763751,,,1.0,0.0,0.0324469551901082,1.0,0.0,0.0373071737246584
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE_SUB,X2=low_k=-3,mean,1,0.0,-0.0017790566301257,0.0017790566301257,0.0017790566301257,0.0017790566301257,,,,,,,0.0114840019471281,,,1.0,0.0,0.0327241921966677,1.0,0.0,0.0382984054348452
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE_SUB,X2=low_k=-3,median,1,0.0,8.400038461733492e-05,8.400038461733492e-05,8.400038461733492e-05,8.400038461733492e-05,,,,,,,0.0114840019471281,,,1.0,0.0,0.0327241921966677,1.0,0.0,0.0382984054348452
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE_SUB,X2=low_k=-4,mean,1,0.0,0.0013536995935557,0.0013536995935557,0.0013536995935557,0.0013536995935557,,,,,,,0.012901339524824,,,1.0,0.0,0.0380749558109618,1.0,0.0,0.0460783190560533
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE_SUB,X2=low_k=-4,median,1,0.0,-0.0004094947818314,0.0004094947818314,0.0004094947818314,0.0004094947818314,,,,,,,0.012901339524824,,,1.0,0.0,0.0380749558109618,1.0,0.0,0.0460783190560533
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE_SUBC,X1_k=-2,mean,1,0.0,0.0018465001084016,0.0018465001084016,0.0018465001084016,0.0018465001084016,,,,,,,0.0144250807922911,,,1.0,0.0,0.0438337753451615,1.0,0.0,0.047828470875569004
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE_SUBC,X1_k=-2,median,1,0.0,0.0001542941956058,0.0001542941956058,0.0001542941956058,0.0001542941956058,,,,,,,0.0144250807922911,,,1.0,0.0,0.0438337753451615,1.0,0.0,0.047828470875569004
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE_SUBC,X1_k=-3,mean,1,0.0,0.0045302656587991,0.0045302656587991,0.0045302656587991,0.0045302656587991,,,,,,,0.0148531105535276,,,1.0,0.0,0.0452880421309146,1.0,0.0,0.0531133212222045
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE_SUBC,X1_k=-3,median,1,0.0,0.0027713197811906,0.0027713197811906,0.0027713197811906,0.0027713197811906,,,,,,,0.0148531105535276,,,1.0,0.0,0.0452880421309146,1.0,0.0,0.0531133212222045
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE_SUBC,X1_k=-4,mean,1,0.0,0.0070198960748819,0.0070198960748819,0.0070198960748819,0.0070198960748819,,,,,,,0.0137318353385172,,,1.0,0.0,0.0421464759779787,1.0,0.0,0.0479790669256791
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE_SUBC,X1_k=-4,median,1,0.0,0.0063043631048792,0.0063043631048792,0.0063043631048792,0.0063043631048792,,,,,,,0.0137318353385172,,,1.0,0.0,0.0421464759779787,1.0,0.0,0.0479790669256791
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE_SUBC,X1_slope,mean,1,0.0,-0.0022833371179032,0.0022833371179032,0.0022833371179032,0.0022833371179032,,,,,,,0.0049633268649813,,,1.0,0.0,0.0161922826775075,1.0,0.0,0.01741576818207
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE_SUBC,X1_slope,median,1,0.0,-0.0021379207956653,0.0021379207956653,0.0021379207956653,0.0021379207956653,,,,,,,0.0049633268649813,,,1.0,0.0,0.0161922826775075,1.0,0.0,0.01741576818207
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE_SUBC,X2_k=-2,mean,1,0.0,0.0045534363188738,0.0045534363188738,0.0045534363188738,0.0045534363188738,,,,,,,0.0147643957110284,,,1.0,0.0,0.040768424822760996,1.0,0.0,0.0497423821317733
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE_SUBC,X2_k=-2,median,1,0.0,0.0018991297941517,0.0018991297941517,0.0018991297941517,0.0018991297941517,,,,,,,0.0147643957110284,,,1.0,0.0,0.040768424822760996,1.0,0.0,0.0497423821317733
correction_completion,PT_conditional,1,200,raw_structured,pretrend,PRE_SUBC,X2_k=-3,mean,1,0.0,0.0063652624695535,0.0063652624695535,0.0063652624695535,0.0063652624695535,,,,,,,0.0124741331872659,,,1.0,0.0,0.0367198496545543,1.0,0.0,0.0389825976060105
