estimand_type,estimand_id,g,t,k,method,post_mean,sd,q025,q05,q95,q975,p_bayes,surf_rmse,surf_mae,surf_n,surf_mape,surf_cover95,surf_len95,surf_cover90,surf_len90,true,setting,rep,spec,sigma2_shape,sigma2_rate,N,linearity_degree,dgp,method_version,smoke_only,method_label
GATT,g=4_t=4,4.0,4.0,0.0,plain,4.520157467476803,0.49941938016377485,3.778296375906027,3.832287417666602,5.1919034666334,5.299056579530206,0.0,,,,,,,,,3.808297722630966,B1_baseline,0,structured,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF
GATT,g=4_t=5,4.0,5.0,1.0,plain,4.590336484854054,0.41012046870533553,4.165909274036057,4.187327511369641,5.198283720755213,5.302246706591112,0.0,,,,,,,,,3.808297722630966,B1_baseline,0,structured,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF
GATT,g=4_t=6,4.0,6.0,2.0,plain,4.578576835488887,0.42097009924157025,4.1545469220937274,4.164602807484981,5.198283720755213,5.302246706591112,0.0,,,,,,,,,3.808297722630966,B1_baseline,0,structured,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF
GATT,g=4_t=7,4.0,7.0,3.0,plain,4.728065708374375,0.5148044163239571,4.133844748131816,4.184521512184717,5.484370758369629,5.66535717740941,0.0,,,,,,,,,3.808297722630966,B1_baseline,0,structured,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF
ES,k=0,,,0.0,plain,4.520157467476803,0.49941938016377485,3.778296375906027,3.832287417666602,5.1919034666334,5.299056579530206,0.0,,,,,,,,,3.808297722630966,B1_baseline,0,structured,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF
ES,k=1,,,1.0,plain,4.590336484854054,0.41012046870533553,4.165909274036057,4.187327511369641,5.198283720755213,5.302246706591112,0.0,,,,,,,,,3.808297722630966,B1_baseline,0,structured,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF
ES,k=2,,,2.0,plain,4.578576835488887,0.42097009924157025,4.1545469220937274,4.164602807484981,5.198283720755213,5.302246706591112,0.0,,,,,,,,,3.808297722630966,B1_baseline,0,structured,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF
ES,k=3,,,3.0,plain,4.728065708374375,0.5148044163239571,4.133844748131816,4.184521512184717,5.484370758369629,5.66535717740941,0.0,,,,,,,,,3.808297722630966,B1_baseline,0,structured,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF
ATT,ATT,,,,plain,4.6042841240485295,0.4281675783289722,4.217393072591717,4.231427208059846,5.263425226037004,5.38983419723478,0.0,,,,,,,,,3.8082977226309667,B1_baseline,0,structured,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF
CATT,surface,,,,plain,,,,,,,,0.8499916164461535,0.7959864014175628,96.0,0.23709485102045988,0.5104166666666666,1.5853176239997684,0.4583333333333333,1.4626421619077015,,B1_baseline,0,structured,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF
