family,design,degree,N,rep,task_estimator,shard,n_shards,wave_id,n_waves,oracle_available,config_hash,base_seed,seed
correction_audit,baseline,1,800,92,current_hybrid_logit_clip05,0,48,0,1,True,1d4ec075e86f013d,20260829,3049623428
correction_audit,baseline,1,800,92,current_hybrid_rf,0,48,0,1,True,1d4ec075e86f013d,20260829,3049623428
correction_audit,baseline,1,800,92,oracle_current_hybrid,0,48,0,1,False,1d4ec075e86f013d,20260829,3049623428
correction_audit,baseline,1,800,92,oracle_reference_fold_convolution,0,48,0,1,False,1d4ec075e86f013d,20260829,3049623428
correction_audit,baseline,1,800,92,raw_structured,0,48,0,1,True,1d4ec075e86f013d,20260829,3049623428
correction_audit,baseline,1,800,92,reference_fold_convolution_intercept,0,48,0,1,True,1d4ec075e86f013d,20260829,3049623428
correction_audit,baseline,1,800,92,reference_fold_convolution_logit,0,48,0,1,True,1d4ec075e86f013d,20260829,3049623428
correction_audit,baseline,1,800,92,reference_fold_convolution_rf,0,48,0,1,True,1d4ec075e86f013d,20260829,3049623428
correction_audit,baseline,2,200,40,current_hybrid_intercept,0,48,0,1,True,1d4ec075e86f013d,20260829,2495349612
correction_audit,baseline,2,200,40,current_hybrid_logit,0,48,0,1,True,1d4ec075e86f013d,20260829,2495349612
correction_audit,baseline,2,200,40,current_hybrid_logit_clip01,0,48,0,1,True,1d4ec075e86f013d,20260829,2495349612
correction_audit,baseline,2,200,40,current_hybrid_logit_clip05,0,48,0,1,True,1d4ec075e86f013d,20260829,2495349612
correction_audit,baseline,2,200,40,current_hybrid_rf,0,48,0,1,True,1d4ec075e86f013d,20260829,2495349612
correction_audit,baseline,2,200,40,oracle_current_hybrid,0,48,0,1,False,1d4ec075e86f013d,20260829,2495349612
correction_audit,baseline,2,200,40,oracle_reference_fold_convolution,0,48,0,1,False,1d4ec075e86f013d,20260829,2495349612
correction_audit,baseline,2,200,40,raw_structured,0,48,0,1,True,1d4ec075e86f013d,20260829,2495349612
correction_audit,baseline,2,200,40,reference_fold_convolution_intercept,0,48,0,1,True,1d4ec075e86f013d,20260829,2495349612
correction_audit,baseline,2,200,40,reference_fold_convolution_logit,0,48,0,1,True,1d4ec075e86f013d,20260829,2495349612
