estimand_type,estimand_id,g,t,k,method,post_mean,sd,q025,q05,q95,q975,p_bayes,true,setting,rep,spec,sigma2_shape,sigma2_rate,N,linearity_degree,dgp,method_version,smoke_only,method_label
PRE,k=-4,,,-4.0,pretrend,-0.6949370456479751,0.34886317942906486,-1.3040153851462761,-1.2569513911418762,-0.3979651460078551,-0.3977646752239784,0.0,-0.0,PT_hold,0,pretrend_unit,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF diagnostic
PRE,k=-3,,,-3.0,pretrend,-0.5651866150216422,0.20012049619958724,-0.8987416413365927,-0.8695845714630824,-0.3979651460078551,-0.3977646752239784,0.0,-0.0,PT_hold,0,pretrend_unit,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF diagnostic
PRE,k=-2,,,-2.0,pretrend,-0.5772288543733637,0.18882838495913792,-0.8851048258581432,-0.8423109405061833,-0.3509982941072127,-0.33815290165777845,0.0,-0.0,PT_hold,0,pretrend_unit,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF diagnostic
PRE,slope,,,,pretrend,0.2708866586686124,0.10568367970236464,0.1662125912698336,0.16720171601046344,0.4378182550709888,0.46308535150272084,0.0,0.0,PT_hold,0,pretrend_unit,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF diagnostic
PRE,any,,,,pretrend,,,,,,,0.0,0.0,PT_hold,0,pretrend_unit,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF diagnostic
PRE,any_bonf,,,,pretrend,,,,,,,0.0,0.0,PT_hold,0,pretrend_unit,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF diagnostic
PRE_SUB,X1=0_k=-4,,,-4.0,pretrend,-0.5259255308580968,0.3882128121518091,-1.2381239151984886,-1.125168451246301,-0.1247179879558965,-0.12124437533443684,0.0,-0.0,PT_hold,0,pretrend_unit,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF diagnostic
PRE_SUB,X1=0_k=-3,,,-3.0,pretrend,-0.39617510023176405,0.28846480775536015,-0.8791715780099085,-0.8304444448097139,-0.08435771588316636,-0.07536189558283263,0.0,-0.0,PT_hold,0,pretrend_unit,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF diagnostic
PRE_SUB,X1=0_k=-2,,,-2.0,pretrend,-0.5734491743981436,0.18677583060471076,-0.8851048258581431,-0.8423109405061832,-0.350998294107213,-0.33815290165777867,0.0,-0.0,PT_hold,0,pretrend_unit,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF diagnostic
PRE_SUB,X1=1_k=-4,,,-4.0,pretrend,-0.8639485604378532,0.40826202548362034,-1.4398374800266454,-1.421010004083258,-0.4323729771648282,-0.4155413644706838,0.0,-0.0,PT_hold,0,pretrend_unit,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF diagnostic
PRE_SUB,X1=1_k=-3,,,-3.0,pretrend,-0.7341981298115202,0.2661963818933183,-1.1887237457898552,-1.1333972233032412,-0.4323729771648282,-0.4155413644706838,0.0,-0.0,PT_hold,0,pretrend_unit,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF diagnostic
PRE_SUB,X1=1_k=-2,,,-2.0,pretrend,-0.5810085343485836,0.19145673852313072,-0.8897546819405248,-0.8516106526709463,-0.3509982941072125,-0.3381529016577782,0.0,-0.0,PT_hold,0,pretrend_unit,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF diagnostic
PRE_SUB,X2=low_k=-4,,,-4.0,pretrend,-0.672258965796654,0.3703466684612529,-1.3040153851462761,-1.256951391141876,-0.33077144446437856,-0.3127887783170684,0.0,-0.0,PT_hold,0,pretrend_unit,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF diagnostic
PRE_SUB,X2=low_k=-3,,,-3.0,pretrend,-0.5425085351703212,0.19551711721978324,-0.898741641336593,-0.8695845714630825,-0.397965146007855,-0.3977646752239783,0.0,-0.0,PT_hold,0,pretrend_unit,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF diagnostic
PRE_SUB,X2=low_k=-2,,,-2.0,pretrend,-0.5545507745220426,0.18563164042995242,-0.8851048258581434,-0.8423109405061835,-0.3509982941072124,-0.33815290165777806,0.0,-0.0,PT_hold,0,pretrend_unit,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF diagnostic
